Number of robot passes: 120

Number of trays: 6

Tray 1
No  Cir Pos     X        Y     Angle 
1    1   1    90.8     0        0    
2    1   2    86.36    28.06    18   
3    1   3    73.46    53.37    36   
4    1   4    53.37    73.46    54   
5    1   5    28.06    86.36    72   
6    1   6    0        90.8     90   
7    1   7    -28.06   86.36    108  
8    1   8    -53.37   73.46    126  
9    1   9    -73.46   53.37    144  
10   1   10   -86.36   28.06    162  
11   1   11   -90.8    0        180  
12   1   12   -86.36   -28.06   198  
13   1   13   -73.46   -53.37   216  
14   1   14   -53.37   -73.46   234  
15   1   15   -28.06   -86.36   252  
16   1   16   0        -90.8    270  
17   1   17   28.06    -86.36   288  
18   1   18   53.37    -73.46   306  
19   1   19   73.46    -53.37   324  
20   1   20   86.36    -28.06   342  

Tray 2
No  Cir Pos     X        Y     Angle 
1    1   1    90.8     0        0    
2    1   2    86.36    28.06    18   
3    1   3    73.46    53.37    36   
4    1   4    53.37    73.46    54   
5    1   5    28.06    86.36    72   
6    1   6    0        90.8     90   
7    1   7    -28.06   86.36    108  
8    1   8    -53.37   73.46    126  
9    1   9    -73.46   53.37    144  
10   1   10   -86.36   28.06    162  
11   1   11   -90.8    0        180  
12   1   12   -86.36   -28.06   198  
13   1   13   -73.46   -53.37   216  
14   1   14   -53.37   -73.46   234  
15   1   15   -28.06   -86.36   252  
16   1   16   0        -90.8    270  
17   1   17   28.06    -86.36   288  
18   1   18   53.37    -73.46   306  
19   1   19   73.46    -53.37   324  
20   1   20   86.36    -28.06   342  

Tray 3
No  Cir Pos     X        Y     Angle 
1    1   1    90.8     0        0    
2    1   2    86.36    28.06    18   
3    1   3    73.46    53.37    36   
4    1   4    53.37    73.46    54   
5    1   5    28.06    86.36    72   
6    1   6    0        90.8     90   
7    1   7    -28.06   86.36    108  
8    1   8    -53.37   73.46    126  
9    1   9    -73.46   53.37    144  
10   1   10   -86.36   28.06    162  
11   1   11   -90.8    0        180  
12   1   12   -86.36   -28.06   198  
13   1   13   -73.46   -53.37   216  
14   1   14   -53.37   -73.46   234  
15   1   15   -28.06   -86.36   252  
16   1   16   0        -90.8    270  
17   1   17   28.06    -86.36   288  
18   1   18   53.37    -73.46   306  
19   1   19   73.46    -53.37   324  
20   1   20   86.36    -28.06   342  

Tray 4
No  Cir Pos     X        Y     Angle 
1    1   1    90.8     0        0    
2    1   2    86.36    28.06    18   
3    1   3    73.46    53.37    36   
4    1   4    53.37    73.46    54   
5    1   5    28.06    86.36    72   
6    1   6    0        90.8     90   
7    1   7    -28.06   86.36    108  
8    1   8    -53.37   73.46    126  
9    1   9    -73.46   53.37    144  
10   1   10   -86.36   28.06    162  
11   1   11   -90.8    0        180  
12   1   12   -86.36   -28.06   198  
13   1   13   -73.46   -53.37   216  
14   1   14   -53.37   -73.46   234  
15   1   15   -28.06   -86.36   252  
16   1   16   0        -90.8    270  
17   1   17   28.06    -86.36   288  
18   1   18   53.37    -73.46   306  
19   1   19   73.46    -53.37   324  
20   1   20   86.36    -28.06   342  

Tray 5
No  Cir Pos     X        Y     Angle 
1    1   1    90.8     0        0    
2    1   2    86.36    28.06    18   
3    1   3    73.46    53.37    36   
4    1   4    53.37    73.46    54   
5    1   5    28.06    86.36    72   
6    1   6    0        90.8     90   
7    1   7    -28.06   86.36    108  
8    1   8    -53.37   73.46    126  
9    1   9    -73.46   53.37    144  
10   1   10   -86.36   28.06    162  
11   1   11   -90.8    0        180  
12   1   12   -86.36   -28.06   198  
13   1   13   -73.46   -53.37   216  
14   1   14   -53.37   -73.46   234  
15   1   15   -28.06   -86.36   252  
16   1   16   0        -90.8    270  
17   1   17   28.06    -86.36   288  
18   1   18   53.37    -73.46   306  
19   1   19   73.46    -53.37   324  
20   1   20   86.36    -28.06   342  

Tray 6
No  Cir Pos     X        Y     Angle 
1    1   1    90.8     0        0    
2    1   2    86.36    28.06    18   
3    1   3    73.46    53.37    36   
4    1   4    53.37    73.46    54   
5    1   5    28.06    86.36    72   
6    1   6    0        90.8     90   
7    1   7    -28.06   86.36    108  
8    1   8    -53.37   73.46    126  
9    1   9    -73.46   53.37    144  
10   1   10   -86.36   28.06    162  
11   1   11   -90.8    0        180  
12   1   12   -86.36   -28.06   198  
13   1   13   -73.46   -53.37   216  
14   1   14   -53.37   -73.46   234  
15   1   15   -28.06   -86.36   252  
16   1   16   0        -90.8    270  
17   1   17   28.06    -86.36   288  
18   1   18   53.37    -73.46   306  
19   1   19   73.46    -53.37   324  
20   1   20   86.36    -28.06   342  
