Number of robot passes: 216

Number of trays: 6

Tray 1
No  Cir Pos     X        Y     Angle 
1    1   1    93.96    0        10   
2    1   2    86.81    35.96    32.5 
3    1   3    66.44    66.44    55   
4    1   4    35.96    86.81    77.5 
5    1   5    0        93.96    100  
6    1   6    -35.96   86.81    122.5
7    1   7    -66.44   66.44    145  
8    1   8    -86.81   35.96    167.5
9    1   9    -93.96   0        190  
10   1   10   -86.81   -35.96   212.5
11   1   11   -66.44   -66.44   235  
12   1   12   -35.96   -86.81   257.5
13   1   13   0        -93.96   280  
14   1   14   35.96    -86.81   302.5
15   1   15   66.44    -66.44   325  
16   1   16   86.81    -35.96   347.5
17   2   1    74       0        10   
18   2   2    64.09    37       40   
19   2   3    37       64.09    70   
20   2   4    0        74       100  
21   2   5    -37      64.09    130  
22   2   6    -64.09   37       160  
23   2   7    -74      0        190  
24   2   8    -64.09   -37      220  
25   2   9    -37      -64.09   250  
26   2   10   0        -74      280  
27   2   11   37       -64.09   310  
28   2   12   64.09    -37      340  
29   3   1    54       0        10   
30   3   2    38.18    38.18    55   
31   3   3    0        54       100  
32   3   4    -38.18   38.18    145  
33   3   5    -54      0        190  
34   3   6    -38.18   -38.18   235  
35   3   7    0        -54      280  
36   3   8    38.18    -38.18   325  

Tray 2
No  Cir Pos     X        Y     Angle 
1    1   1    93.96    0        10   
2    1   2    86.81    35.96    32.5 
3    1   3    66.44    66.44    55   
4    1   4    35.96    86.81    77.5 
5    1   5    0        93.96    100  
6    1   6    -35.96   86.81    122.5
7    1   7    -66.44   66.44    145  
8    1   8    -86.81   35.96    167.5
9    1   9    -93.96   0        190  
10   1   10   -86.81   -35.96   212.5
11   1   11   -66.44   -66.44   235  
12   1   12   -35.96   -86.81   257.5
13   1   13   0        -93.96   280  
14   1   14   35.96    -86.81   302.5
15   1   15   66.44    -66.44   325  
16   1   16   86.81    -35.96   347.5
17   2   1    74       0        10   
18   2   2    64.09    37       40   
19   2   3    37       64.09    70   
20   2   4    0        74       100  
21   2   5    -37      64.09    130  
22   2   6    -64.09   37       160  
23   2   7    -74      0        190  
24   2   8    -64.09   -37      220  
25   2   9    -37      -64.09   250  
26   2   10   0        -74      280  
27   2   11   37       -64.09   310  
28   2   12   64.09    -37      340  
29   3   1    54       0        10   
30   3   2    38.18    38.18    55   
31   3   3    0        54       100  
32   3   4    -38.18   38.18    145  
33   3   5    -54      0        190  
34   3   6    -38.18   -38.18   235  
35   3   7    0        -54      280  
36   3   8    38.18    -38.18   325  

Tray 3
No  Cir Pos     X        Y     Angle 
1    1   1    93.96    0        10   
2    1   2    86.81    35.96    32.5 
3    1   3    66.44    66.44    55   
4    1   4    35.96    86.81    77.5 
5    1   5    0        93.96    100  
6    1   6    -35.96   86.81    122.5
7    1   7    -66.44   66.44    145  
8    1   8    -86.81   35.96    167.5
9    1   9    -93.96   0        190  
10   1   10   -86.81   -35.96   212.5
11   1   11   -66.44   -66.44   235  
12   1   12   -35.96   -86.81   257.5
13   1   13   0        -93.96   280  
14   1   14   35.96    -86.81   302.5
15   1   15   66.44    -66.44   325  
16   1   16   86.81    -35.96   347.5
17   2   1    74       0        10   
18   2   2    64.09    37       40   
19   2   3    37       64.09    70   
20   2   4    0        74       100  
21   2   5    -37      64.09    130  
22   2   6    -64.09   37       160  
23   2   7    -74      0        190  
24   2   8    -64.09   -37      220  
25   2   9    -37      -64.09   250  
26   2   10   0        -74      280  
27   2   11   37       -64.09   310  
28   2   12   64.09    -37      340  
29   3   1    54       0        10   
30   3   2    38.18    38.18    55   
31   3   3    0        54       100  
32   3   4    -38.18   38.18    145  
33   3   5    -54      0        190  
34   3   6    -38.18   -38.18   235  
35   3   7    0        -54      280  
36   3   8    38.18    -38.18   325  

Tray 4
No  Cir Pos     X        Y     Angle 
1    1   1    93.96    0        10   
2    1   2    86.81    35.96    32.5 
3    1   3    66.44    66.44    55   
4    1   4    35.96    86.81    77.5 
5    1   5    0        93.96    100  
6    1   6    -35.96   86.81    122.5
7    1   7    -66.44   66.44    145  
8    1   8    -86.81   35.96    167.5
9    1   9    -93.96   0        190  
10   1   10   -86.81   -35.96   212.5
11   1   11   -66.44   -66.44   235  
12   1   12   -35.96   -86.81   257.5
13   1   13   0        -93.96   280  
14   1   14   35.96    -86.81   302.5
