Number of robot passes: 402

Number of trays: 6

Tray 1
No  Cir Pos     X        Y     Angle 
1    1   1    93.8     0        0    
2    1   2    91.61    20.16    12.4 
3    1   3    85.13    39.39    24.8 
4    1   4    74.67    56.77    37.2 
5    1   5    60.72    71.49    49.7 
6    1   6    43.94    82.87    62.1 
7    1   7    25.09    90.38    74.5 
8    1   8    5.08     93.66    86.9 
9    1   9    -15.18   92.56    99.3 
10   1   10   -34.72   87.14    111.7
11   1   11   -52.64   77.64    124.1
12   1   12   -68.1    64.51    136.6
13   1   13   -80.37   48.36    149  
14   1   14   -88.89   29.95    161.4
15   1   15   -93.25   10.14    173.8
16   1   16   -93.25   -10.14   186.2
17   1   17   -88.89   -29.95   198.6
18   1   18   -80.37   -48.36   211  
19   1   19   -68.1    -64.51   223.4
20   1   20   -52.64   -77.64   235.9
21   1   21   -34.72   -87.14   248.3
22   1   22   -15.18   -92.56   260.7
23   1   23   5.08     -93.66   273.1
24   1   24   25.09    -90.38   285.5
25   1   25   43.94    -82.87   297.9
26   1   26   60.72    -71.49   310.3
27   1   27   74.67    -56.77   322.8
28   1   28   85.13    -39.39   335.2
29   1   29   91.61    -20.16   347.6
30   2   1    73.8     0        0    
31   2   2    70.81    20.79    16.4 
32   2   3    62.08    39.9     32.7 
33   2   4    48.33    55.77    49.1 
34   2   5    30.66    67.13    65.5 
35   2   6    10.5     73.05    81.8 
36   2   7    -10.5    73.05    98.2 
37   2   8    -30.66   67.13    114.5
38   2   9    -48.33   55.77    130.9
39   2   10   -62.08   39.9     147.3
40   2   11   -70.81   20.79    163.6
41   2   12   -73.8    0        180  
42   2   13   -70.81   -20.79   196.4
43   2   14   -62.08   -39.9    212.7
44   2   15   -48.33   -55.77   229.1
45   2   16   -30.66   -67.13   245.5
46   2   17   -10.5    -73.05   261.8
47   2   18   10.5     -73.05   278.2
48   2   19   30.66    -67.13   294.5
49   2   20   48.33    -55.77   310.9
50   2   21   62.08    -39.9    327.3
51   2   22   70.81    -20.79   343.6
52   3   1    53.8     0        0    
53   3   2    49.7     20.59    22.5 
54   3   3    38.04    38.04    45   
55   3   4    20.59    49.7     67.5 
56   3   5    0        53.8     90   
57   3   6    -20.59   49.7     112.5
58   3   7    -38.04   38.04    135  
59   3   8    -49.7    20.59    157.5
60   3   9    -53.8    0        180  
61   3   10   -49.7    -20.59   202.5
62   3   11   -38.04   -38.04   225  
63   3   12   -20.59   -49.7    247.5
64   3   13   0        -53.8    270  
65   3   14   20.59    -49.7    292.5
66   3   15   38.04    -38.04   315  
67   3   16   49.7     -20.59   337.5

Tray 2
No  Cir Pos     X        Y     Angle 
1    1   1    93.8     0        0    
2    1   2    91.61    20.16    12.4 
3    1   3    85.13    39.39    24.8 
4    1   4    74.67    56.77    37.2 
5    1   5    60.72    71.49    49.7 
6    1   6    43.94    82.87    62.1 
7    1   7    25.09    90.38    74.5 
8    1   8    5.08     93.66    86.9 
9    1   9    -15.18   92.56    99.3 
10   1   10   -34.72   87.14    111.7
11   1   11   -52.64   77.64    124.1
12   1   12   -68.1    64.51    136.6
13   1   13   -80.37   48.36    149  
14   1   14   -88.89   29.95    161.4
15   1   15   -93.25   10.14    173.8
16   1   16   -93.25   -10.14   186.2
17   1   17   -88.89   -29.95   198.6
18   1   18   -80.37   -48.36   211  
19   1   19   -68.1    -64.51   223.4
20   1   20   -52.64   -77.64   235.9
21   1   21   -34.72   -87.14   248.3
22   1   22   -15.18   -92.56   260.7
23   1   23   5.08     -93.66   273.1
24   1   24   25.09    -90.38   285.5
25   1   25   43.94    -82.87   297.9
26   1   26   60.72    -71.49   310.3
27   1   27   74.67    -56.77   322.8
28   1   28   85.13    -39.39   335.2
29   1   29   91.61    -20.16   347.6
30   2   1    73.8     0        0    
31   2   2    70.81    20.79    16.4 
32   2   3    62.08    39.9     32.7 
33   2   4    48.33    55.77    49.1 
34   2   5    30.66    67.13    65.5 
35   2   6    10.5     73.05    81.8 
36   2   7    -10.5    73.05    98.2 
37   2   8    -30.66   67.13    114.5
38   2   9    -48.33   55.77    130.9
39   2   10   -62.08   39.9     147.3
40   2   11   -70.81   20.79    163.6
41   2   12   -73.8    0        180  
42   2   13   -70.81   -20.79   196.4
43   2   14   -62.08   -39.9    212.7
44   2   15   -48.33   -55.77   229.1
45   2   16   -30.66   -67.13   245.5
46   2   17   -10.5    -73.05   261.8
47   2   18   10.5     -73.05   278.2
48   2   19   30.66    -67.13   294.5
49   2   20   48.33    -55.77   310.9
50   2   21   62.08    -39.9    327.3
51   2   22   70.81    -20.79   343.6
52   3   1    53.8     0        0    
53   3   2    49.7     20.59    22.5 
54   3   3    38.04    38.04    45   
55   3   4    20.59    49.7     67.5 
56   3   5    0        53.8     90   
57   3   6    -20.59   49.7     112.5
58   3   7    -38.04   38.04    135  
59   3   8    -49.7    20.59    157.5
60   3   9    -53.8    0        180  
61   3   10   -49.7    -20.59   202.5
62   3   11   -38.04   -38.04   225  
63   3   12   -20.59   -49.7    247.5
64   3   13   0        -53.8    270  
65   3   14   20.59    -49.7    292.5
66   3   15   38.04    -38.04   315  
67   3   16   49.7     -20.59   337.5

Tray 3
No  Cir Pos     X        Y     Angle 
1    1   1    93.8     0        0    
2    1   2    91.61    20.16    12.4 
3    1   3    85.13    39.39    24.8 
4    1   4    74.67    56.77    37.2 
5    1   5    60.72    71.49    49.7 
6    1   6    43.94    82.87    62.1 
7    1   7    25.09    90.38    74.5 
8    1   8    5.08     93.66    86.9 
9    1   9    -15.18   92.56    99.3 
10   1   10   -34.72   87.14    111.7
11   1   11   -52.64   77.64    124.1
12   1   12   -68.1    64.51    136.6
