Number of robot passes: 288

Number of trays: 6

Tray 1
No  Cir Pos     X        Y     Angle 
1    1   1    94       0        27.5 
2    1   2    89.4     29.05    45.5 
3    1   3    76.05    55.25    63.5 
4    1   4    55.25    76.05    81.5 
5    1   5    29.05    89.4     99.5 
6    1   6    0        94       117.5
7    1   7    -29.05   89.4     135.5
8    1   8    -55.25   76.05    153.5
9    1   9    -76.05   55.25    171.5
10   1   10   -89.4    29.05    189.5
11   1   11   -94      0        207.5
12   1   12   -89.4    -29.05   225.5
13   1   13   -76.05   -55.25   243.5
14   1   14   -55.25   -76.05   261.5
15   1   15   -29.05   -89.4    279.5
16   1   16   0        -94      297.5
17   1   17   29.05    -89.4    315.5
18   1   18   55.25    -76.05   333.5
19   1   19   76.05    -55.25   351.5
20   1   20   89.4     -29.05   369.5
21   2   1    74       0        27.5 
22   2   2    68.37    28.32    50   
23   2   3    52.33    52.33    72.5 
24   2   4    28.32    68.37    95   
25   2   5    0        74       117.5
26   2   6    -28.32   68.37    140  
27   2   7    -52.33   52.33    162.5
28   2   8    -68.37   28.32    185  
29   2   9    -74      0        207.5
30   2   10   -68.37   -28.32   230  
31   2   11   -52.33   -52.33   252.5
32   2   12   -28.32   -68.37   275  
33   2   13   0        -74      297.5
34   2   14   28.32    -68.37   320  
35   2   15   52.33    -52.33   342.5
36   2   16   68.37    -28.32   365  
37   3   1    54       0        27.5 
38   3   2    46.77    27       57.5 
39   3   3    27       46.77    87.5 
40   3   4    0        54       117.5
41   3   5    -27      46.77    147.5
42   3   6    -46.77   27       177.5
43   3   7    -54      0        207.5
44   3   8    -46.77   -27      237.5
45   3   9    -27      -46.77   267.5
46   3   10   0        -54      297.5
47   3   11   27       -46.77   327.5
48   3   12   46.77    -27      357.5

Tray 2
No  Cir Pos     X        Y     Angle 
1    1   1    94       0        27.5 
2    1   2    89.4     29.05    45.5 
3    1   3    76.05    55.25    63.5 
4    1   4    55.25    76.05    81.5 
5    1   5    29.05    89.4     99.5 
6    1   6    0        94       117.5
7    1   7    -29.05   89.4     135.5
8    1   8    -55.25   76.05    153.5
9    1   9    -76.05   55.25    171.5
10   1   10   -89.4    29.05    189.5
11   1   11   -94      0        207.5
12   1   12   -89.4    -29.05   225.5
13   1   13   -76.05   -55.25   243.5
14   1   14   -55.25   -76.05   261.5
15   1   15   -29.05   -89.4    279.5
16   1   16   0        -94      297.5
17   1   17   29.05    -89.4    315.5
18   1   18   55.25    -76.05   333.5
19   1   19   76.05    -55.25   351.5
20   1   20   89.4     -29.05   369.5
21   2   1    74       0        27.5 
22   2   2    68.37    28.32    50   
23   2   3    52.33    52.33    72.5 
24   2   4    28.32    68.37    95   
25   2   5    0        74       117.5
26   2   6    -28.32   68.37    140  
27   2   7    -52.33   52.33    162.5
28   2   8    -68.37   28.32    185  
29   2   9    -74      0        207.5
30   2   10   -68.37   -28.32   230  
31   2   11   -52.33   -52.33   252.5
32   2   12   -28.32   -68.37   275  
33   2   13   0        -74      297.5
34   2   14   28.32    -68.37   320  
35   2   15   52.33    -52.33   342.5
36   2   16   68.37    -28.32   365  
37   3   1    54       0        27.5 
38   3   2    46.77    27       57.5 
39   3   3    27       46.77    87.5 
40   3   4    0        54       117.5
41   3   5    -27      46.77    147.5
42   3   6    -46.77   27       177.5
43   3   7    -54      0        207.5
44   3   8    -46.77   -27      237.5
45   3   9    -27      -46.77   267.5
46   3   10   0        -54      297.5
47   3   11   27       -46.77   327.5
48   3   12   46.77    -27      357.5

Tray 3
No  Cir Pos     X        Y     Angle 
1    1   1    94       0        27.5 
2    1   2    89.4     29.05    45.5 
3    1   3    76.05    55.25    63.5 
4    1   4    55.25    76.05    81.5 
5    1   5    29.05    89.4     99.5 
6    1   6    0        94       117.5
7    1   7    -29.05   89.4     135.5
8    1   8    -55.25   76.05    153.5
9    1   9    -76.05   55.25    171.5
10   1   10   -89.4    29.05    189.5
11   1   11   -94      0        207.5
12   1   12   -89.4    -29.05   225.5
13   1   13   -76.05   -55.25   243.5
14   1   14   -55.25   -76.05   261.5
15   1   15   -29.05   -89.4    279.5
16   1   16   0        -94      297.5
17   1   17   29.05    -89.4    315.5
18   1   18   55.25    -76.05   333.5
19   1   19   76.05    -55.25   351.5
20   1   20   89.4     -29.05   369.5
21   2   1    74       0        27.5 
22   2   2    68.37    28.32    50   
23   2   3    52.33    52.33    72.5 
24   2   4    28.32    68.37    95   
25   2   5    0        74       117.5
26   2   6    -28.32   68.37    140  
27   2   7    -52.33   52.33    162.5
28   2   8    -68.37   28.32    185  
29   2   9    -74      0        207.5
30   2   10   -68.37   -28.32   230  
31   2   11   -52.33   -52.33   252.5
32   2   12   -28.32   -68.37   275  
33   2   13   0        -74      297.5
34   2   14   28.32    -68.37   320  
35   2   15   52.33    -52.33   342.5
36   2   16   68.37    -28.32   365  
37   3   1    54       0        27.5 
38   3   2    46.77    27       57.5 
39   3   3    27       46.77    87.5 
40   3   4    0        54       117.5
41   3   5    -27      46.77    147.5
42   3   6    -46.77   27       177.5
43   3   7    -54      0        207.5
44   3   8    -46.77   -27      237.5
45   3   9    -27      -46.77   267.5
46   3   10   0        -54      297.5
47   3   11   27       -46.77   327.5
48   3   12   46.77    -27      357.5

Tray 4
No  Cir Pos     X        Y     Angle 
1    1   1    94       0        27.5 
2    1   2    89.4     29.05    45.5 
3    1   3    76.05    55.25    63.5 
4    1   4    55.25    76.05    81.5 
5    1   5    29.05    89.4     99.5 
6    1   6    0        94       117.5
7    1   7    -29.05   89.4     135.5
8    1   8    -55.25   76.05    153.5
9    1   9    -76.05   55.25    171.5
10   1   10   -89.4    29.05    189.5
11   1   11   -94      0        207.5
