Number of robot passes: 252

Number of trays: 6

Tray 1
No  Cir Pos     X        Y     Angle 
1    1   1    93.95    0        10   
2    1   2    88.28    32.13    30   
3    1   3    71.97    60.39    50   
4    1   4    46.97    81.36    70   
5    1   5    16.31    92.52    90   
6    1   6    -16.31   92.52    110  
7    1   7    -46.97   81.36    130  
8    1   8    -71.97   60.39    150  
9    1   9    -88.28   32.13    170  
10   1   10   -93.95   0        190  
11   1   11   -88.28   -32.13   210  
12   1   12   -71.97   -60.39   230  
13   1   13   -46.97   -81.36   250  
14   1   14   -16.31   -92.52   270  
15   1   15   16.31    -92.52   290  
16   1   16   46.97    -81.36   310  
17   1   17   71.97    -60.39   330  
18   1   18   88.28    -32.13   350  
19   2   1    73.5     0        10   
20   2   2    66.22    31.89    35.7 
21   2   3    45.83    57.46    61.4 
22   2   4    16.36    71.66    87.1 
23   2   5    -16.36   71.66    112.9
24   2   6    -45.83   57.46    138.6
25   2   7    -66.22   31.89    164.3
26   2   8    -73.5    0        190  
27   2   9    -66.22   -31.89   215.7
28   2   10   -45.83   -57.46   241.4
29   2   11   -16.36   -71.66   267.1
30   2   12   16.36    -71.66   292.9
31   2   13   45.83    -57.46   318.6
32   2   14   66.22    -31.89   344.3
33   3   1    52       0        15   
34   3   2    42.07    30.56    51   
35   3   3    16.07    49.45    87   
36   3   4    -16.07   49.45    123  
37   3   5    -42.07   30.56    159  
38   3   6    -52      0        195  
39   3   7    -42.07   -30.56   231  
40   3   8    -16.07   -49.45   267  
41   3   9    16.07    -49.45   303  
42   3   10   42.07    -30.56   339  

Tray 2
No  Cir Pos     X        Y     Angle 
1    1   1    93.95    0        10   
2    1   2    88.28    32.13    30   
3    1   3    71.97    60.39    50   
4    1   4    46.97    81.36    70   
5    1   5    16.31    92.52    90   
6    1   6    -16.31   92.52    110  
7    1   7    -46.97   81.36    130  
8    1   8    -71.97   60.39    150  
9    1   9    -88.28   32.13    170  
10   1   10   -93.95   0        190  
11   1   11   -88.28   -32.13   210  
12   1   12   -71.97   -60.39   230  
13   1   13   -46.97   -81.36   250  
14   1   14   -16.31   -92.52   270  
15   1   15   16.31    -92.52   290  
16   1   16   46.97    -81.36   310  
17   1   17   71.97    -60.39   330  
18   1   18   88.28    -32.13   350  
19   2   1    73.5     0        10   
20   2   2    66.22    31.89    35.7 
21   2   3    45.83    57.46    61.4 
22   2   4    16.36    71.66    87.1 
23   2   5    -16.36   71.66    112.9
24   2   6    -45.83   57.46    138.6
25   2   7    -66.22   31.89    164.3
26   2   8    -73.5    0        190  
27   2   9    -66.22   -31.89   215.7
28   2   10   -45.83   -57.46   241.4
29   2   11   -16.36   -71.66   267.1
30   2   12   16.36    -71.66   292.9
31   2   13   45.83    -57.46   318.6
32   2   14   66.22    -31.89   344.3
33   3   1    52       0        15   
34   3   2    42.07    30.56    51   
35   3   3    16.07    49.45    87   
36   3   4    -16.07   49.45    123  
37   3   5    -42.07   30.56    159  
38   3   6    -52      0        195  
39   3   7    -42.07   -30.56   231  
40   3   8    -16.07   -49.45   267  
41   3   9    16.07    -49.45   303  
42   3   10   42.07    -30.56   339  

Tray 3
No  Cir Pos     X        Y     Angle 
1    1   1    93.95    0        10   
2    1   2    88.28    32.13    30   
3    1   3    71.97    60.39    50   
4    1   4    46.97    81.36    70   
5    1   5    16.31    92.52    90   
6    1   6    -16.31   92.52    110  
7    1   7    -46.97   81.36    130  
8    1   8    -71.97   60.39    150  
9    1   9    -88.28   32.13    170  
10   1   10   -93.95   0        190  
11   1   11   -88.28   -32.13   210  
12   1   12   -71.97   -60.39   230  
13   1   13   -46.97   -81.36   250  
14   1   14   -16.31   -92.52   270  
15   1   15   16.31    -92.52   290  
16   1   16   46.97    -81.36   310  
17   1   17   71.97    -60.39   330  
18   1   18   88.28    -32.13   350  
19   2   1    73.5     0        10   
20   2   2    66.22    31.89    35.7 
21   2   3    45.83    57.46    61.4 
22   2   4    16.36    71.66    87.1 
23   2   5    -16.36   71.66    112.9
24   2   6    -45.83   57.46    138.6
25   2   7    -66.22   31.89    164.3
26   2   8    -73.5    0        190  
27   2   9    -66.22   -31.89   215.7
28   2   10   -45.83   -57.46   241.4
29   2   11   -16.36   -71.66   267.1
30   2   12   16.36    -71.66   292.9
31   2   13   45.83    -57.46   318.6
32   2   14   66.22    -31.89   344.3
33   3   1    52       0        15   
34   3   2    42.07    30.56    51   
35   3   3    16.07    49.45    87   
36   3   4    -16.07   49.45    123  
37   3   5    -42.07   30.56    159  
38   3   6    -52      0        195  
39   3   7    -42.07   -30.56   231  
40   3   8    -16.07   -49.45   267  
41   3   9    16.07    -49.45   303  
42   3   10   42.07    -30.56   339  

Tray 4
No  Cir Pos     X        Y     Angle 
1    1   1    93.95    0        10   
2    1   2    88.28    32.13    30   
3    1   3    71.97    60.39    50   
4    1   4    46.97    81.36    70   
5    1   5    16.31    92.52    90   
6    1   6    -16.31   92.52    110  
7    1   7    -46.97   81.36    130  
8    1   8    -71.97   60.39    150  
9    1   9    -88.28   32.13    170  
10   1   10   -93.95   0        190  
11   1   11   -88.28   -32.13   210  
12   1   12   -71.97   -60.39   230  
13   1   13   -46.97   -81.36   250  
14   1   14   -16.31   -92.52   270  
15   1   15   16.31    -92.52   290  
16   1   16   46.97    -81.36   310  
17   1   17   71.97    -60.39   330  
18   1   18   88.28    -32.13   350  
19   2   1    73.5     0        10   
20   2   2    66.22    31.89    35.7 
21   2   3    45.83    57.46    61.4 
22   2   4    16.36    71.66    87.1 
23   2   5    -16.36   71.66    112.9
24   2   6    -45.83   57.46    138.6
25   2   7    -66.22   31.89    164.3
26   2   8    -73.5    0        190  
27   2   9    -66.22   -31.89   215.7
28   2   10   -45.83   -57.46   241.4
29   2   11   -16.36   -71.66   267.1
30   2   12   16.36    -71.66   292.9
31   2   13   45.83    -57.46   318.6
32   2   14   66.22    -31.89   344.3
33   3   1    52       0        15   
34   3   2    42.07    30.56    51   
35   3   3    16.07    49.45    87   
36   3   4    -16.07   49.45    123  
37   3   5    -42.07   30.56    159  
38   3   6    -52      0        195  
39   3   7    -42.07   -30.56   231  
40   3   8    -16.07   -49.45   267  
41   3   9    16.07    -49.45   303  
42   3   10   42.07    -30.56   339  

Tray 5
No  Cir Pos     X        Y     Angle 
1    1   1    93.95    0        10   
2    1   2    88.28    32.13    30   
3    1   3    71.97    60.39    50   
4    1   4    46.97    81.36    70   
5    1   5    16.31    92.52    90   
6    1   6    -16.31   92.52    110  
7    1   7    -46.97   81.36    130  
8    1   8    -71.97   60.39    150  
9    1   9    -88.28   32.13    170  
10   1   10   -93.95   0        190  
11   1   11   -88.28   -32.13   210  
12   1   12   -71.97   -60.39   230  
13   1   13   -46.97   -81.36   250  
14   1   14   -16.31   -92.52   270  
15   1   15   16.31    -92.52   290  
16   1   16   46.97    -81.36   310  
17   1   17   71.97    -60.39   330  
18   1   18   88.28    -32.13   350  
19   2   1    73.5     0        10   
20   2   2    66.22    31.89    35.7 
21   2   3    45.83    57.46    61.4 
22   2   4    16.36    71.66    87.1 
23   2   5    -16.36   71.66    112.9
24   2   6    -45.83   57.46    138.6
25   2   7    -66.22   31.89    164.3
26   2   8    -73.5    0        190  
27   2   9    -66.22   -31.89   215.7
28   2   10   -45.83   -57.46   241.4
29   2   11   -16.36   -71.66   267.1
30   2   12   16.36    -71.66   292.9
31   2   13   45.83    -57.46   318.6
32   2   14   66.22    -31.89   344.3
33   3   1    52       0        15   
34   3   2    42.07    30.56    51   
35   3   3    16.07    49.45    87   
36   3   4    -16.07   49.45    123  
37   3   5    -42.07   30.56    159  
38   3   6    -52      0        195  
39   3   7    -42.07   -30.56   231  
40   3   8    -16.07   -49.45   267  
41   3   9    16.07    -49.45   303  
42   3   10   42.07    -30.56   339  

Tray 6
No  Cir Pos     X        Y     Angle 
1    1   1    93.95    0        10   
2    1   2    88.28    32.13    30   
3    1   3    71.97    60.39    50   
4    1   4    46.97    81.36    70   
5    1   5    16.31    92.52    90   
6    1   6    -16.31   92.52    110  
7    1   7    -46.97   81.36    130  
8    1   8    -71.97   60.39    150  
9    1   9    -88.28   32.13    170  
10   1   10   -93.95   0        190  
11   1   11   -88.28   -32.13   210  
12   1   12   -71.97   -60.39   230  
13   1   13   -46.97   -81.36   250  
14   1   14   -16.31   -92.52   270  
15   1   15   16.31    -92.52   290  
16   1   16   46.97    -81.36   310  
17   1   17   71.97    -60.39   330  
18   1   18   88.28    -32.13   350  
19   2   1    73.5     0        10   
20   2   2    66.22    31.89    35.7 
21   2   3    45.83    57.46    61.4 
22   2   4    16.36    71.66    87.1 
23   2   5    -16.36   71.66    112.9
24   2   6    -45.83   57.46    138.6
25   2   7    -66.22   31.89    164.3
26   2   8    -73.5    0        190  
27   2   9    -66.22   -31.89   215.7
28   2   10   -45.83   -57.46   241.4
29   2   11   -16.36   -71.66   267.1
30   2   12   16.36    -71.66   292.9
31   2   13   45.83    -57.46   318.6
32   2   14   66.22    -31.89   344.3
33   3   1    52       0        15   
34   3   2    42.07    30.56    51   
35   3   3    16.07    49.45    87   
36   3   4    -16.07   49.45    123  
37   3   5    -42.07   30.56    159  
38   3   6    -52      0        195  
39   3   7    -42.07   -30.56   231  
40   3   8    -16.07   -49.45   267  
41   3   9    16.07    -49.45   303  
42   3   10   42.07    -30.56   339  
