Number of robot passes: 288

Number of trays: 6

Tray 1
No  Cir Pos     X        Y     Angle 
1    1   1    94.7     0        27.5 
2    1   2    90.07    29.26    45.5 
3    1   3    76.61    55.66    63.5 
4    1   4    55.66    76.61    81.5 
5    1   5    29.26    90.07    99.5 
6    1   6    0        94.7     117.5
7    1   7    -29.26   90.07    135.5
8    1   8    -55.66   76.61    153.5
9    1   9    -76.61   55.66    171.5
10   1   10   -90.07   29.26    189.5
11   1   11   -94.7    0        207.5
12   1   12   -90.07   -29.26   225.5
13   1   13   -76.61   -55.66   243.5
14   1   14   -55.66   -76.61   261.5
15   1   15   -29.26   -90.07   279.5
16   1   16   0        -94.7    297.5
17   1   17   29.26    -90.07   315.5
18   1   18   55.66    -76.61   333.5
19   1   19   76.61    -55.66   351.5
20   1   20   90.07    -29.26   369.5
21   2   1    71       0        29   
22   2   2    65.6     27.17    51.5 
23   2   3    50.2     50.2     74   
24   2   4    27.17    65.6     96.5 
25   2   5    0        71       119  
26   2   6    -27.17   65.6     141.5
27   2   7    -50.2    50.2     164  
28   2   8    -65.6    27.17    186.5
29   2   9    -71      0        209  
30   2   10   -65.6    -27.17   231.5
31   2   11   -50.2    -50.2    254  
32   2   12   -27.17   -65.6    276.5
33   2   13   0        -71      299  
34   2   14   27.17    -65.6    321.5
35   2   15   50.2     -50.2    344  
36   2   16   65.6     -27.17   366.5
37   3   1    47       0        31   
38   3   2    40.7     23.5     61   
39   3   3    23.5     40.7     91   
40   3   4    0        47       121  
41   3   5    -23.5    40.7     151  
42   3   6    -40.7    23.5     181  
43   3   7    -47      0        211  
44   3   8    -40.7    -23.5    241  
45   3   9    -23.5    -40.7    271  
46   3   10   0        -47      301  
47   3   11   23.5     -40.7    331  
48   3   12   40.7     -23.5    361  

Tray 2
No  Cir Pos     X        Y     Angle 
1    1   1    94.7     0        27.5 
2    1   2    90.07    29.26    45.5 
3    1   3    76.61    55.66    63.5 
4    1   4    55.66    76.61    81.5 
5    1   5    29.26    90.07    99.5 
6    1   6    0        94.7     117.5
7    1   7    -29.26   90.07    135.5
8    1   8    -55.66   76.61    153.5
9    1   9    -76.61   55.66    171.5
10   1   10   -90.07   29.26    189.5
11   1   11   -94.7    0        207.5
12   1   12   -90.07   -29.26   225.5
13   1   13   -76.61   -55.66   243.5
14   1   14   -55.66   -76.61   261.5
15   1   15   -29.26   -90.07   279.5
16   1   16   0        -94.7    297.5
