Number of robot passes: 138

Number of trays: 6

Tray 1
No  Cir Pos     X        Y     Angle 
1    1   1    86.9     0        0    
2    1   2    79.39    35.35    24   
3    1   3    58.15    64.58    48   
4    1   4    26.85    82.65    72   
5    1   5    -9.08    86.42    96   
6    1   6    -43.45   75.26    120  
7    1   7    -70.3    51.08    144  
8    1   8    -85      18.07    168  
9    1   9    -85      -18.07   192  
10   1   10   -70.3    -51.08   216  
11   1   11   -43.45   -75.26   240  
12   1   12   -9.08    -86.42   264  
13   1   13   26.85    -82.65   288  
14   1   14   58.15    -64.58   312  
15   1   15   79.39    -35.35   336  
16   2   1    50.1     0        0    
17   2   2    35.43    35.43    45   
18   2   3    0        50.1     90   
19   2   4    -35.43   35.43    135  
20   2   5    -50.1    0        180  
21   2   6    -35.43   -35.43   225  
22   2   7    0        -50.1    270  
23   2   8    35.43    -35.43   315  

Tray 2
No  Cir Pos     X        Y     Angle 
1    1   1    86.9     0        0    
2    1   2    79.39    35.35    24   
3    1   3    58.15    64.58    48   
4    1   4    26.85    82.65    72   
5    1   5    -9.08    86.42    96   
6    1   6    -43.45   75.26    120  
7    1   7    -70.3    51.08    144  
8    1   8    -85      18.07    168  
9    1   9    -85      -18.07   192  
10   1   10   -70.3    -51.08   216  
11   1   11   -43.45   -75.26   240  
12   1   12   -9.08    -86.42   264  
13   1   13   26.85    -82.65   288  
14   1   14   58.15    -64.58   312  
15   1   15   79.39    -35.35   336  
16   2   1    50.1     0        0    
17   2   2    35.43    35.43    45   
18   2   3    0        50.1     90   
19   2   4    -35.43   35.43    135  
20   2   5    -50.1    0        180  
21   2   6    -35.43   -35.43   225  
22   2   7    0        -50.1    270  
23   2   8    35.43    -35.43   315  

Tray 3
No  Cir Pos     X        Y     Angle 
1    1   1    86.9     0        0    
2    1   2    79.39    35.35    24   
3    1   3    58.15    64.58    48   
4    1   4    26.85    82.65    72   
5    1   5    -9.08    86.42    96   
6    1   6    -43.45   75.26    120  
7    1   7    -70.3    51.08    144  
8    1   8    -85      18.07    168  
9    1   9    -85      -18.07   192  
10   1   10   -70.3    -51.08   216  
11   1   11   -43.45   -75.26   240  
12   1   12   -9.08    -86.42   264  
13   1   13   26.85    -82.65   288  
14   1   14   58.15    -64.58   312  
15   1   15   79.39    -35.35   336  
16   2   1    50.1     0        0    
17   2   2    35.43    35.43    45   
18   2   3    0        50.1     90   
19   2   4    -35.43   35.43    135  
20   2   5    -50.1    0        180  
21   2   6    -35.43   -35.43   225  
22   2   7    0        -50.1    270  
23   2   8    35.43    -35.43   315  

Tray 4
No  Cir Pos     X        Y     Angle 
1    1   1    86.9     0        0    
2    1   2    79.39    35.35    24   
3    1   3    58.15    64.58    48   
4    1   4    26.85    82.65    72   
5    1   5    -9.08    86.42    96   
6    1   6    -43.45   75.26    120  
7    1   7    -70.3    51.08    144  
8    1   8    -85      18.07    168  
9    1   9    -85      -18.07   192  
10   1   10   -70.3    -51.08   216  
11   1   11   -43.45   -75.26   240  
12   1   12   -9.08    -86.42   264  
13   1   13   26.85    -82.65   288  
14   1   14   58.15    -64.58   312  
15   1   15   79.39    -35.35   336  
16   2   1    50.1     0        0    
17   2   2    35.43    35.43    45   
18   2   3    0        50.1     90   
19   2   4    -35.43   35.43    135  
20   2   5    -50.1    0        180  
21   2   6    -35.43   -35.43   225  
22   2   7    0        -50.1    270  
23   2   8    35.43    -35.43   315  

Tray 5
No  Cir Pos     X        Y     Angle 
1    1   1    86.9     0        0    
2    1   2    79.39    35.35    24   
3    1   3    58.15    64.58    48   
4    1   4    26.85    82.65    72   
5    1   5    -9.08    86.42    96   
6    1   6    -43.45   75.26    120  
7    1   7    -70.3    51.08    144  
8    1   8    -85      18.07    168  
9    1   9    -85      -18.07   192  
10   1   10   -70.3    -51.08   216  
11   1   11   -43.45   -75.26   240  
12   1   12   -9.08    -86.42   264  
13   1   13   26.85    -82.65   288  
14   1   14   58.15    -64.58   312  
15   1   15   79.39    -35.35   336  
16   2   1    50.1     0        0    
17   2   2    35.43    35.43    45   
18   2   3    0        50.1     90   
19   2   4    -35.43   35.43    135  
20   2   5    -50.1    0        180  
21   2   6    -35.43   -35.43   225  
22   2   7    0        -50.1    270  
23   2   8    35.43    -35.43   315  

Tray 6
No  Cir Pos     X        Y     Angle 
1    1   1    86.9     0        0    
2    1   2    79.39    35.35    24   
3    1   3    58.15    64.58    48   
4    1   4    26.85    82.65    72   
5    1   5    -9.08    86.42    96   
6    1   6    -43.45   75.26    120  
7    1   7    -70.3    51.08    144  
8    1   8    -85      18.07    168  
9    1   9    -85      -18.07   192  
10   1   10   -70.3    -51.08   216  
11   1   11   -43.45   -75.26   240  
12   1   12   -9.08    -86.42   264  
13   1   13   26.85    -82.65   288  
14   1   14   58.15    -64.58   312  
15   1   15   79.39    -35.35   336  
16   2   1    50.1     0        0    
17   2   2    35.43    35.43    45   
18   2   3    0        50.1     90   
19   2   4    -35.43   35.43    135  
20   2   5    -50.1    0        180  
21   2   6    -35.43   -35.43   225  
22   2   7    0        -50.1    270  
23   2   8    35.43    -35.43   315  
