Number of robot passes: 252

Number of trays: 6

Tray 1
No  Cir Pos     X        Y     Angle 
1    1   1    95.8     0        20   
2    1   2    90.02    32.77    40   
3    1   3    73.39    61.58    60   
4    1   4    47.9     82.97    80   
5    1   5    16.64    94.34    100  
6    1   6    -16.64   94.34    120  
7    1   7    -47.9    82.97    140  
8    1   8    -73.39   61.58    160  
9    1   9    -90.02   32.77    180  
10   1   10   -95.8    0        200  
11   1   11   -90.02   -32.77   220  
12   1   12   -73.39   -61.58   240  
13   1   13   -47.9    -82.97   260  
14   1   14   -16.64   -94.34   280  
15   1   15   16.64    -94.34   300  
16   1   16   47.9     -82.97   320  
17   1   17   73.39    -61.58   340  
18   1   18   90.02    -32.77   360  
19   2   1    76.6     0        20   
20   2   2    69.01    33.24    45.7 
21   2   3    47.76    59.89    71.4 
22   2   4    17.05    74.68    97.1 
23   2   5    -17.05   74.68    122.9
24   2   6    -47.76   59.89    148.6
25   2   7    -69.01   33.24    174.3
26   2   8    -76.6    0        200  
27   2   9    -69.01   -33.24   225.7
28   2   10   -47.76   -59.89   251.4
29   2   11   -17.05   -74.68   277.1
30   2   12   17.05    -74.68   302.9
31   2   13   47.76    -59.89   328.6
32   2   14   69.01    -33.24   354.3
33   3   1    57.4     0        20   
34   3   2    46.44    33.74    56   
35   3   3    17.74    54.59    92   
36   3   4    -17.74   54.59    128  
37   3   5    -46.44   33.74    164  
38   3   6    -57.4    0        200  
39   3   7    -46.44   -33.74   236  
40   3   8    -17.74   -54.59   272  
41   3   9    17.74    -54.59   308  
42   3   10   46.44    -33.74   344  

Tray 2
No  Cir Pos     X        Y     Angle 
1    1   1    95.8     0        20   
2    1   2    90.02    32.77    40   
3    1   3    73.39    61.58    60   
4    1   4    47.9     82.97    80   
5    1   5    16.64    94.34    100  
6    1   6    -16.64   94.34    120  
7    1   7    -47.9    82.97    140  
8    1   8    -73.39   61.58    160  
9    1   9    -90.02   32.77    180  
10   1   10   -95.8    0        200  
11   1   11   -90.02   -32.77   220  
12   1   12   -73.39   -61.58   240  
13   1   13   -47.9    -82.97   260  
14   1   14   -16.64   -94.34   280  
15   1   15   16.64    -94.34   300  
16   1   16   47.9     -82.97   320  
17   1   17   73.39    -61.58   340  
18   1   18   90.02    -32.77   360  
19   2   1    76.6     0        20   
20   2   2    69.01    33.24    45.7 
21   2   3    47.76    59.89    71.4 
22   2   4    17.05    74.68    97.1 
23   2   5    -17.05   74.68    122.9
24   2   6    -47.76   59.89    148.6
25   2   7    -69.01   33.24    174.3
26   2   8    -76.6    0        200  
27   2   9    -69.01   -33.24   225.7
28   2   10   -47.76   -59.89   251.4
29   2   11   -17.05   -74.68   277.1
30   2   12   17.05    -74.68   302.9
31   2   13   47.76    -59.89   328.6
32   2   14   69.01    -33.24   354.3
33   3   1    57.4     0        20   
34   3   2    46.44    33.74    56   
35   3   3    17.74    54.59    92   
36   3   4    -17.74   54.59    128  
37   3   5    -46.44   33.74    164  
38   3   6    -57.4    0        200  
39   3   7    -46.44   -33.74   236  
40   3   8    -17.74   -54.59   272  
41   3   9    17.74    -54.59   308  
42   3   10   46.44    -33.74   344  

Tray 3
No  Cir Pos     X        Y     Angle 
1    1   1    95.8     0        20   
2    1   2    90.02    32.77    40   
3    1   3    73.39    61.58    60   
4    1   4    47.9     82.97    80   
5    1   5    16.64    94.34    100  
6    1   6    -16.64   94.34    120  
7    1   7    -47.9    82.97    140  
8    1   8    -73.39   61.58    160  
9    1   9    -90.02   32.77    180  
10   1   10   -95.8    0        200  
11   1   11   -90.02   -32.77   220  
12   1   12   -73.39   -61.58   240  
13   1   13   -47.9    -82.97   260  
14   1   14   -16.64   -94.34   280  
15   1   15   16.64    -94.34   300  
16   1   16   47.9     -82.97   320  
17   1   17   73.39    -61.58   340  
18   1   18   90.02    -32.77   360  
19   2   1    76.6     0        20   
20   2   2    69.01    33.24    45.7 
21   2   3    47.76    59.89    71.4 
22   2   4    17.05    74.68    97.1 
23   2   5    -17.05   74.68    122.9
24   2   6    -47.76   59.89    148.6
25   2   7    -69.01   33.24    174.3
26   2   8    -76.6    0        200  
27   2   9    -69.01   -33.24   225.7
28   2   10   -47.76   -59.89   251.4
29   2   11   -17.05   -74.68   277.1
30   2   12   17.05    -74.68   302.9
31   2   13   47.76    -59.89   328.6
32   2   14   69.01    -33.24   354.3
33   3   1    57.4     0        20   
34   3   2    46.44    33.74    56   
35   3   3    17.74    54.59    92   
36   3   4    -17.74   54.59    128  
37   3   5    -46.44   33.74    164  
38   3   6    -57.4    0        200  
39   3   7    -46.44   -33.74   236  
40   3   8    -17.74   -54.59   272  
41   3   9    17.74    -54.59   308  
42   3   10   46.44    -33.74   344  

Tray 4
No  Cir Pos     X        Y     Angle 
1    1   1    95.8     0        20   
2    1   2    90.02    32.77    40   
3    1   3    73.39    61.58    60   
4    1   4    47.9     82.97    80   
5    1   5    16.64    94.34    100  
6    1   6    -16.64   94.34    120  
7    1   7    -47.9    82.97    140  
8    1   8    -73.39   61.58    160  
9    1   9    -90.02   32.77    180  
10   1   10   -95.8    0        200  
11   1   11   -90.02   -32.77   220  
12   1   12   -73.39   -61.58   240  
13   1   13   -47.9    -82.97   260  
14   1   14   -16.64   -94.34   280  
15   1   15   16.64    -94.34   300  
16   1   16   47.9     -82.97   320  
17   1   17   73.39    -61.58   340  
18   1   18   90.02    -32.77   360  
19   2   1    76.6     0        20   
20   2   2    69.01    33.24    45.7 
21   2   3    47.76    59.89    71.4 
22   2   4    17.05    74.68    97.1 
23   2   5    -17.05   74.68    122.9
24   2   6    -47.76   59.89    148.6
25   2   7    -69.01   33.24    174.3
26   2   8    -76.6    0        200  
27   2   9    -69.01   -33.24   225.7
28   2   10   -47.76   -59.89   251.4
29   2   11   -17.05   -74.68   277.1
30   2   12   17.05    -74.68   302.9
31   2   13   47.76    -59.89   328.6
32   2   14   69.01    -33.24   354.3
33   3   1    57.4     0        20   
34   3   2    46.44    33.74    56   
35   3   3    17.74    54.59    92   
36   3   4    -17.74   54.59    128  
37   3   5    -46.44   33.74    164  
38   3   6    -57.4    0        200  
39   3   7    -46.44   -33.74   236  
40   3   8    -17.74   -54.59   272  
41   3   9    17.74    -54.59   308  
42   3   10   46.44    -33.74   344  

Tray 5
No  Cir Pos     X        Y     Angle 
1    1   1    95.8     0        20   
2    1   2    90.02    32.77    40   
3    1   3    73.39    61.58    60   
4    1   4    47.9     82.97    80   
5    1   5    16.64    94.34    100  
6    1   6    -16.64   94.34    120  
7    1   7    -47.9    82.97    140  
8    1   8    -73.39   61.58    160  
9    1   9    -90.02   32.77    180  
10   1   10   -95.8    0        200  
11   1   11   -90.02   -32.77   220  
12   1   12   -73.39   -61.58   240  
13   1   13   -47.9    -82.97   260  
14   1   14   -16.64   -94.34   280  
15   1   15   16.64    -94.34   300  
16   1   16   47.9     -82.97   320  
17   1   17   73.39    -61.58   340  
18   1   18   90.02    -32.77   360  
19   2   1    76.6     0        20   
20   2   2    69.01    33.24    45.7 
21   2   3    47.76    59.89    71.4 
22   2   4    17.05    74.68    97.1 
23   2   5    -17.05   74.68    122.9
24   2   6    -47.76   59.89    148.6
25   2   7    -69.01   33.24    174.3
26   2   8    -76.6    0        200  
27   2   9    -69.01   -33.24   225.7
28   2   10   -47.76   -59.89   251.4
29   2   11   -17.05   -74.68   277.1
30   2   12   17.05    -74.68   302.9
31   2   13   47.76    -59.89   328.6
32   2   14   69.01    -33.24   354.3
33   3   1    57.4     0        20   
34   3   2    46.44    33.74    56   
35   3   3    17.74    54.59    92   
36   3   4    -17.74   54.59    128  
37   3   5    -46.44   33.74    164  
38   3   6    -57.4    0        200  
39   3   7    -46.44   -33.74   236  
40   3   8    -17.74   -54.59   272  
41   3   9    17.74    -54.59   308  
42   3   10   46.44    -33.74   344  

Tray 6
No  Cir Pos     X        Y     Angle 
1    1   1    95.8     0        20   
2    1   2    90.02    32.77    40   
3    1   3    73.39    61.58    60   
4    1   4    47.9     82.97    80   
5    1   5    16.64    94.34    100  
6    1   6    -16.64   94.34    120  
7    1   7    -47.9    82.97    140  
8    1   8    -73.39   61.58    160  
9    1   9    -90.02   32.77    180  
10   1   10   -95.8    0        200  
11   1   11   -90.02   -32.77   220  
12   1   12   -73.39   -61.58   240  
13   1   13   -47.9    -82.97   260  
14   1   14   -16.64   -94.34   280  
15   1   15   16.64    -94.34   300  
16   1   16   47.9     -82.97   320  
17   1   17   73.39    -61.58   340  
18   1   18   90.02    -32.77   360  
19   2   1    76.6     0        20   
20   2   2    69.01    33.24    45.7 
21   2   3    47.76    59.89    71.4 
22   2   4    17.05    74.68    97.1 
23   2   5    -17.05   74.68    122.9
24   2   6    -47.76   59.89    148.6
25   2   7    -69.01   33.24    174.3
26   2   8    -76.6    0        200  
27   2   9    -69.01   -33.24   225.7
28   2   10   -47.76   -59.89   251.4
29   2   11   -17.05   -74.68   277.1
30   2   12   17.05    -74.68   302.9
31   2   13   47.76    -59.89   328.6
32   2   14   69.01    -33.24   354.3
33   3   1    57.4     0        20   
34   3   2    46.44    33.74    56   
35   3   3    17.74    54.59    92   
36   3   4    -17.74   54.59    128  
37   3   5    -46.44   33.74    164  
38   3   6    -57.4    0        200  
39   3   7    -46.44   -33.74   236  
40   3   8    -17.74   -54.59   272  
41   3   9    17.74    -54.59   308  
42   3   10   46.44    -33.74   344  
