Number of robot passes: 276

Number of trays: 6

Tray 1
No  Cir Pos     X        Y     Angle 
1    1   1    93.3     0        0    
2    1   2    90.59    22.33    13.8 
3    1   3    82.61    43.36    27.7 
4    1   4    69.84    61.87    41.5 
5    1   5    53       76.78    55.4 
6    1   6    33.08    87.24    69.2 
7    1   7    11.25    92.62    83.1 
8    1   8    -11.25   92.62    96.9 
9    1   9    -33.08   87.24    110.8
10   1   10   -53      76.78    124.6
11   1   11   -69.84   61.87    138.5
12   1   12   -82.61   43.36    152.3
13   1   13   -90.59   22.33    166.2
14   1   14   -93.3    0        180  
15   1   15   -90.59   -22.33   193.8
16   1   16   -82.61   -43.36   207.7
17   1   17   -69.84   -61.87   221.5
18   1   18   -53      -76.78   235.4
19   1   19   -33.08   -87.24   249.2
20   1   20   -11.25   -92.62   263.1
21   1   21   11.25    -92.62   276.9
22   1   22   33.08    -87.24   290.8
23   1   23   53       -76.78   304.6
24   1   24   69.84    -61.87   318.5
25   1   25   82.61    -43.36   332.3
26   1   26   90.59    -22.33   346.2
27   2   1    72       0        0    
28   2   2    68.48    22.25    18   
29   2   3    58.25    42.32    36   
30   2   4    42.32    58.25    54   
31   2   5    22.25    68.48    72   
32   2   6    0        72       90   
33   2   7    -22.25   68.48    108  
34   2   8    -42.32   58.25    126  
35   2   9    -58.25   42.32    144  
36   2   10   -68.48   22.25    162  
37   2   11   -72      0        180  
38   2   12   -68.48   -22.25   198  
39   2   13   -58.25   -42.32   216  
40   2   14   -42.32   -58.25   234  
41   2   15   -22.25   -68.48   252  
42   2   16   0        -72      270  
43   2   17   22.25    -68.48   288  
44   2   18   42.32    -58.25   306  
45   2   19   58.25    -42.32   324  
46   2   20   68.48    -22.25   342  

Tray 2
No  Cir Pos     X        Y     Angle 
1    1   1    93.3     0        0    
2    1   2    90.59    22.33    13.8 
3    1   3    82.61    43.36    27.7 
4    1   4    69.84    61.87    41.5 
5    1   5    53       76.78    55.4 
6    1   6    33.08    87.24    69.2 
7    1   7    11.25    92.62    83.1 
8    1   8    -11.25   92.62    96.9 
9    1   9    -33.08   87.24    110.8
10   1   10   -53      76.78    124.6
11   1   11   -69.84   61.87    138.5
12   1   12   -82.61   43.36    152.3
13   1   13   -90.59   22.33    166.2
14   1   14   -93.3    0        180  
15   1   15   -90.59   -22.33   193.8
16   1   16   -82.61   -43.36   207.7
17   1   17   -69.84   -61.87   221.5
18   1   18   -53      -76.78   235.4
19   1   19   -33.08   -87.24   249.2
20   1   20   -11.25   -92.62   263.1
21   1   21   11.25    -92.62   276.9
22   1   22   33.08    -87.24   290.8
23   1   23   53       -76.78   304.6
24   1   24   69.84    -61.87   318.5
25   1   25   82.61    -43.36   332.3
26   1   26   90.59    -22.33   346.2
27   2   1    72       0        0    
28   2   2    68.48    22.25    18   
29   2   3    58.25    42.32    36   
30   2   4    42.32    58.25    54   
31   2   5    22.25    68.48    72   
32   2   6    0        72       90   
33   2   7    -22.25   68.48    108  
34   2   8    -42.32   58.25    126  
35   2   9    -58.25   42.32    144  
36   2   10   -68.48   22.25    162  
37   2   11   -72      0        180  
38   2   12   -68.48   -22.25   198  
39   2   13   -58.25   -42.32   216  
40   2   14   -42.32   -58.25   234  
41   2   15   -22.25   -68.48   252  
42   2   16   0        -72      270  
43   2   17   22.25    -68.48   288  
44   2   18   42.32    -58.25   306  
45   2   19   58.25    -42.32   324  
46   2   20   68.48    -22.25   342  

Tray 3
No  Cir Pos     X        Y     Angle 
1    1   1    93.3     0        0    
2    1   2    90.59    22.33    13.8 
3    1   3    82.61    43.36    27.7 
4    1   4    69.84    61.87    41.5 
5    1   5    53       76.78    55.4 
6    1   6    33.08    87.24    69.2 
7    1   7    11.25    92.62    83.1 
8    1   8    -11.25   92.62    96.9 
9    1   9    -33.08   87.24    110.8
10   1   10   -53      76.78    124.6
11   1   11   -69.84   61.87    138.5
12   1   12   -82.61   43.36    152.3
13   1   13   -90.59   22.33    166.2
14   1   14   -93.3    0        180  
15   1   15   -90.59   -22.33   193.8
16   1   16   -82.61   -43.36   207.7
17   1   17   -69.84   -61.87   221.5
18   1   18   -53      -76.78   235.4
19   1   19   -33.08   -87.24   249.2
20   1   20   -11.25   -92.62   263.1
21   1   21   11.25    -92.62   276.9
22   1   22   33.08    -87.24   290.8
23   1   23   53       -76.78   304.6
24   1   24   69.84    -61.87   318.5
25   1   25   82.61    -43.36   332.3
26   1   26   90.59    -22.33   346.2
27   2   1    72       0        0    
28   2   2    68.48    22.25    18   
29   2   3    58.25    42.32    36   
30   2   4    42.32    58.25    54   
31   2   5    22.25    68.48    72   
32   2   6    0        72       90   
33   2   7    -22.25   68.48    108  
34   2   8    -42.32   58.25    126  
35   2   9    -58.25   42.32    144  
36   2   10   -68.48   22.25    162  
37   2   11   -72      0        180  
38   2   12   -68.48   -22.25   198  
39   2   13   -58.25   -42.32   216  
40   2   14   -42.32   -58.25   234  
41   2   15   -22.25   -68.48   252  
42   2   16   0        -72      270  
43   2   17   22.25    -68.48   288  
44   2   18   42.32    -58.25   306  
45   2   19   58.25    -42.32   324  
46   2   20   68.48    -22.25   342  

Tray 4
No  Cir Pos     X        Y     Angle 
1    1   1    93.3     0        0    
2    1   2    90.59    22.33    13.8 
3    1   3    82.61    43.36    27.7 
4    1   4    69.84    61.87    41.5 
5    1   5    53       76.78    55.4 
6    1   6    33.08    87.24    69.2 
7    1   7    11.25    92.62    83.1 
8    1   8    -11.25   92.62    96.9 
9    1   9    -33.08   87.24    110.8
10   1   10   -53      76.78    124.6
11   1   11   -69.84   61.87    138.5
12   1   12   -82.61   43.36    152.3
13   1   13   -90.59   22.33    166.2
14   1   14   -93.3    0        180  
15   1   15   -90.59   -22.33   193.8
16   1   16   -82.61   -43.36   207.7
17   1   17   -69.84   -61.87   221.5
18   1   18   -53      -76.78   235.4
19   1   19   -33.08   -87.24   249.2
20   1   20   -11.25   -92.62   263.1
21   1   21   11.25    -92.62   276.9
22   1   22   33.08    -87.24   290.8
23   1   23   53       -76.78   304.6
24   1   24   69.84    -61.87   318.5
25   1   25   82.61    -43.36   332.3
26   1   26   90.59    -22.33   346.2
27   2   1    72       0        0    
28   2   2    68.48    22.25    18   
29   2   3    58.25    42.32    36   
30   2   4    42.32    58.25    54   
31   2   5    22.25    68.48    72   
32   2   6    0        72       90   
33   2   7    -22.25   68.48    108  
34   2   8    -42.32   58.25    126  
35   2   9    -58.25   42.32    144  
36   2   10   -68.48   22.25    162  
37   2   11   -72      0        180  
38   2   12   -68.48   -22.25   198  
39   2   13   -58.25   -42.32   216  
40   2   14   -42.32   -58.25   234  
41   2   15   -22.25   -68.48   252  
42   2   16   0        -72      270  
43   2   17   22.25    -68.48   288  
44   2   18   42.32    -58.25   306  
45   2   19   58.25    -42.32   324  
46   2   20   68.48    -22.25   342  

Tray 5
No  Cir Pos     X        Y     Angle 
1    1   1    93.3     0        0    
2    1   2    90.59    22.33    13.8 
3    1   3    82.61    43.36    27.7 
4    1   4    69.84    61.87    41.5 
5    1   5    53       76.78    55.4 
6    1   6    33.08    87.24    69.2 
7    1   7    11.25    92.62    83.1 
8    1   8    -11.25   92.62    96.9 
9    1   9    -33.08   87.24    110.8
10   1   10   -53      76.78    124.6
11   1   11   -69.84   61.87    138.5
12   1   12   -82.61   43.36    152.3
13   1   13   -90.59   22.33    166.2
14   1   14   -93.3    0        180  
15   1   15   -90.59   -22.33   193.8
16   1   16   -82.61   -43.36   207.7
17   1   17   -69.84   -61.87   221.5
18   1   18   -53      -76.78   235.4
19   1   19   -33.08   -87.24   249.2
20   1   20   -11.25   -92.62   263.1
21   1   21   11.25    -92.62   276.9
22   1   22   33.08    -87.24   290.8
23   1   23   53       -76.78   304.6
24   1   24   69.84    -61.87   318.5
25   1   25   82.61    -43.36   332.3
26   1   26   90.59    -22.33   346.2
27   2   1    72       0        0    
28   2   2    68.48    22.25    18   
29   2   3    58.25    42.32    36   
30   2   4    42.32    58.25    54   
31   2   5    22.25    68.48    72   
32   2   6    0        72       90   
33   2   7    -22.25   68.48    108  
34   2   8    -42.32   58.25    126  
35   2   9    -58.25   42.32    144  
36   2   10   -68.48   22.25    162  
37   2   11   -72      0        180  
38   2   12   -68.48   -22.25   198  
39   2   13   -58.25   -42.32   216  
40   2   14   -42.32   -58.25   234  
41   2   15   -22.25   -68.48   252  
42   2   16   0        -72      270  
43   2   17   22.25    -68.48   288  
44   2   18   42.32    -58.25   306  
45   2   19   58.25    -42.32   324  
46   2   20   68.48    -22.25   342  

Tray 6
No  Cir Pos     X        Y     Angle 
1    1   1    93.3     0        0    
2    1   2    90.59    22.33    13.8 
3    1   3    82.61    43.36    27.7 
4    1   4    69.84    61.87    41.5 
5    1   5    53       76.78    55.4 
6    1   6    33.08    87.24    69.2 
7    1   7    11.25    92.62    83.1 
8    1   8    -11.25   92.62    96.9 
9    1   9    -33.08   87.24    110.8
10   1   10   -53      76.78    124.6
11   1   11   -69.84   61.87    138.5
12   1   12   -82.61   43.36    152.3
13   1   13   -90.59   22.33    166.2
14   1   14   -93.3    0        180  
15   1   15   -90.59   -22.33   193.8
16   1   16   -82.61   -43.36   207.7
17   1   17   -69.84   -61.87   221.5
18   1   18   -53      -76.78   235.4
19   1   19   -33.08   -87.24   249.2
20   1   20   -11.25   -92.62   263.1
21   1   21   11.25    -92.62   276.9
22   1   22   33.08    -87.24   290.8
23   1   23   53       -76.78   304.6
24   1   24   69.84    -61.87   318.5
25   1   25   82.61    -43.36   332.3
26   1   26   90.59    -22.33   346.2
27   2   1    72       0        0    
28   2   2    68.48    22.25    18   
29   2   3    58.25    42.32    36   
30   2   4    42.32    58.25    54   
31   2   5    22.25    68.48    72   
32   2   6    0        72       90   
33   2   7    -22.25   68.48    108  
34   2   8    -42.32   58.25    126  
35   2   9    -58.25   42.32    144  
