Number of robot passes: 222

Number of trays: 6

Tray 1
No  Cir Pos     X        Y     Angle 
1    1   1    91.8     0        0    
2    1   2    88.08    25.86    16.4 
3    1   3    77.23    49.63    32.7 
4    1   4    60.12    69.38    49.1 
5    1   5    38.14    83.5     65.5 
6    1   6    13.06    90.87    81.8 
7    1   7    -13.06   90.87    98.2 
8    1   8    -38.14   83.5     114.5
9    1   9    -60.12   69.38    130.9
10   1   10   -77.23   49.63    147.3
11   1   11   -88.08   25.86    163.6
12   1   12   -91.8    0        180  
13   1   13   -88.08   -25.86   196.4
14   1   14   -77.23   -49.63   212.7
15   1   15   -60.12   -69.38   229.1
16   1   16   -38.14   -83.5    245.5
17   1   17   -13.06   -90.87   261.8
18   1   18   13.06    -90.87   278.2
19   1   19   38.14    -83.5    294.5
20   1   20   60.12    -69.38   310.9


Tray 2
No  Cir Pos     X        Y     Angle 
1    1   1    91.8     0        0    
2    1   2    88.08    25.86    16.4 
3    1   3    77.23    49.63    32.7 
4    1   4    60.12    69.38    49.1 
5    1   5    38.14    83.5     65.5 
6    1   6    13.06    90.87    81.8 
7    1   7    -13.06   90.87    98.2 
8    1   8    -38.14   83.5     114.5
9    1   9    -60.12   69.38    130.9
10   1   10   -77.23   49.63    147.3
11   1   11   -88.08   25.86    163.6
12   1   12   -91.8    0        180  
13   1   13   -88.08   -25.86   196.4
14   1   14   -77.23   -49.63   212.7
15   1   15   -60.12   -69.38   229.1
16   1   16   -38.14   -83.5    245.5
17   1   17   -13.06   -90.87   261.8
18   1   18   13.06    -90.87   278.2
19   1   19   38.14    -83.5    294.5
20   1   20   60.12    -69.38   310.9
21   1   21   77.23    -49.63   327.3
22   1   22   88.08    -25.86   343.6
23   2   1    65.5     0        0    
24   2   2    59.84    26.64    24   
25   2   3    43.83    48.68    48   
26   2   4    20.24    62.29    72   
27   2   5    -6.85    65.14    96   
28   2   6    -32.75   56.72    120  
29   2   7    -52.99   38.5     144  
30   2   8    -64.07   13.62    168  
31   2   9    -64.07   -13.62   192  
32   2   10   -52.99   -38.5    216  
33   2   11   -32.75   -56.72   240  
34   2   12   -6.85    -65.14   264  
35   2   13   20.24    -62.29   288  
36   2   14   43.83    -48.68   312  
37   2   15   59.84    -26.64   336  

Tray 3
No  Cir Pos     X        Y     Angle 
1    1   1    91.8     0        0    
2    1   2    88.08    25.86    16.4 
3    1   3    77.23    49.63    32.7 
4    1   4    60.12    69.38    49.1 
5    1   5    38.14    83.5     65.5 
6    1   6    13.06    90.87    81.8 
7    1   7    -13.06   90.87    98.2 
8    1   8    -38.14   83.5     114.5
9    1   9    -60.12   69.38    130.9
10   1   10   -77.23   49.63    147.3
11   1   11   -88.08   25.86    163.6
12   1   12   -91.8    0        180  
13   1   13   -88.08   -25.86   196.4
14   1   14   -77.23   -49.63   212.7
15   1   15   -60.12   -69.38   229.1
16   1   16   -38.14   -83.5    245.5
17   1   17   -13.06   -90.87   261.8
18   1   18   13.06    -90.87   278.2
19   1   19   38.14    -83.5    294.5
20   1   20   60.12    -69.38   310.9
21   1   21   77.23    -49.63   327.3
22   1   22   88.08    -25.86   343.6
23   2   1    65.5     0        0    
24   2   2    59.84    26.64    24   
25   2   3    43.83    48.68    48   
26   2   4    20.24    62.29    72   
27   2   5    -6.85    65.14    96   
28   2   6    -32.75   56.72    120  
29   2   7    -52.99   38.5     144  
30   2   8    -64.07   13.62    168  
31   2   9    -64.07   -13.62   192  
32   2   10   -52.99   -38.5    216  
33   2   11   -32.75   -56.72   240  
34   2   12   -6.85    -65.14   264  
35   2   13   20.24    -62.29   288  
36   2   14   43.83    -48.68   312  
37   2   15   59.84    -26.64   336  

Tray 4
No  Cir Pos     X        Y     Angle 
1    1   1    91.8     0        0    
2    1   2    88.08    25.86    16.4 
3    1   3    77.23    49.63    32.7 
4    1   4    60.12    69.38    49.1 
5    1   5    38.14    83.5     65.5 
6    1   6    13.06    90.87    81.8 
7    1   7    -13.06   90.87    98.2 
8    1   8    -38.14   83.5     114.5
9    1   9    -60.12   69.38    130.9
10   1   10   -77.23   49.63    147.3
11   1   11   -88.08   25.86    163.6
12   1   12   -91.8    0        180  
13   1   13   -88.08   -25.86   196.4
14   1   14   -77.23   -49.63   212.7
15   1   15   -60.12   -69.38   229.1
16   1   16   -38.14   -83.5    245.5
17   1   17   -13.06   -90.87   261.8
18   1   18   13.06    -90.87   278.2
