Number of robot passes: 156

Number of trays: 6

Tray 1
No  Cir Pos     X        Y     Angle 
1    1   1    88.3     0        22.5 
2    1   2    81.58    33.79    45   
3    1   3    62.44    62.44    67.5 
4    1   4    33.79    81.58    90   
5    1   5    0        88.3     112.5
6    1   6    -33.79   81.58    135  
7    1   7    -62.44   62.44    157.5
8    1   8    -81.58   33.79    180  
9    1   9    -88.3    0        202.5
10   1   10   -81.58   -33.79   225  
11   1   11   -62.44   -62.44   247.5
12   1   12   -33.79   -81.58   270  
13   1   13   0        -88.3    292.5
14   1   14   33.79    -81.58   315  
15   1   15   62.44    -62.44   337.5
16   1   16   81.58    -33.79   360  
17   2   1    53.94    -10.73   36   
18   2   2    49.95    23.03    72   
19   2   3    26.87    47.99    108  
20   2   4    -6.46    54.62    144  
21   2   5    -37.33   40.39    180  
22   2   6    -53.94   10.73    216  
23   2   7    -49.95   -23.03   252  
24   2   8    -26.87   -47.99   288  
25   2   9    6.46     -54.62   324  
26   2   10   37.33    -40.39   360  

Tray 2
No  Cir Pos     X        Y     Angle 
1    1   1    88.3     0        22.5 
2    1   2    81.58    33.79    45   
3    1   3    62.44    62.44    67.5 
4    1   4    33.79    81.58    90   
5    1   5    0        88.3     112.5
6    1   6    -33.79   81.58    135  
7    1   7    -62.44   62.44    157.5
8    1   8    -81.58   33.79    180  
9    1   9    -88.3    0        202.5
10   1   10   -81.58   -33.79   225  
11   1   11   -62.44   -62.44   247.5
12   1   12   -33.79   -81.58   270  
13   1   13   0        -88.3    292.5
14   1   14   33.79    -81.58   315  
15   1   15   62.44    -62.44   337.5
16   1   16   81.58    -33.79   360  
17   2   1    53.94    -10.73   36   
18   2   2    49.95    23.03    72   
19   2   3    26.87    47.99    108  
20   2   4    -6.46    54.62    144  
21   2   5    -37.33   40.39    180  
22   2   6    -53.94   10.73    216  
23   2   7    -49.95   -23.03   252  
24   2   8    -26.87   -47.99   288  
25   2   9    6.46     -54.62   324  
26   2   10   37.33    -40.39   360  

Tray 3
No  Cir Pos     X        Y     Angle 
1    1   1    88.3     0        22.5 
2    1   2    81.58    33.79    45   
3    1   3    62.44    62.44    67.5 
4    1   4    33.79    81.58    90   
5    1   5    0        88.3     112.5
6    1   6    -33.79   81.58    135  
