Number of robot passes: 180

Number of trays: 6

Tray 1
No  Cir Pos     X        Y     Angle 
1    1   1    78       0        0    
2    1   2    76.3     16.22    12   
3    1   3    71.26    31.73    24   
4    1   4    63.1     45.85    36   
5    1   5    52.19    57.97    48   
6    1   6    39       67.55    60   
7    1   7    24.1     74.18    72   
8    1   8    8.15     77.57    84   
9    1   9    -8.15    77.57    96   
10   1   10   -24.1    74.18    108  
11   1   11   -39      67.55    120  
12   1   12   -52.19   57.97    132  
13   1   13   -63.1    45.85    144  
14   1   14   -71.26   31.73    156  
15   1   15   -76.3    16.22    168  
16   1   16   -78      0        180  
17   1   17   -76.3    -16.22   192  
18   1   18   -71.26   -31.73   204  
19   1   19   -63.1    -45.85   216  
20   1   20   -52.19   -57.97   228  
21   1   21   -39      -67.55   240  
22   1   22   -24.1    -74.18   252  
23   1   23   -8.15    -77.57   264  
24   1   24   8.15     -77.57   276  
25   1   25   24.1     -74.18   288  
26   1   26   39       -67.55   300  
27   1   27   52.19    -57.97   312  
28   1   28   63.1     -45.85   324  
29   1   29   71.26    -31.73   336  
30   1   30   76.3     -16.22   348  

Tray 2
No  Cir Pos     X        Y     Angle 
1    1   1    78       0        0    
2    1   2    76.3     16.22    12   
3    1   3    71.26    31.73    24   
4    1   4    63.1     45.85    36   
5    1   5    52.19    57.97    48   
6    1   6    39       67.55    60   
7    1   7    24.1     74.18    72   
8    1   8    8.15     77.57    84   
9    1   9    -8.15    77.57    96   
10   1   10   -24.1    74.18    108  
11   1   11   -39      67.55    120  
12   1   12   -52.19   57.97    132  
13   1   13   -63.1    45.85    144  
14   1   14   -71.26   31.73    156  
15   1   15   -76.3    16.22    168  
16   1   16   -78      0        180  
17   1   17   -76.3    -16.22   192  
18   1   18   -71.26   -31.73   204  
19   1   19   -63.1    -45.85   216  
20   1   20   -52.19   -57.97   228  
21   1   21   -39      -67.55   240  
22   1   22   -24.1    -74.18   252  
23   1   23   -8.15    -77.57   264  
24   1   24   8.15     -77.57   276  
25   1   25   24.1     -74.18   288  
26   1   26   39       -67.55   300  
27   1   27   52.19    -57.97   312  
28   1   28   63.1     -45.85   324  
29   1   29   71.26    -31.73   336  
30   1   30   76.3     -16.22   348  

Tray 3
No  Cir Pos     X        Y     Angle 
1    1   1    78       0        0    
2    1   2    76.3     16.22    12   
3    1   3    71.26    31.73    24   
4    1   4    63.1     45.85    36   
5    1   5    52.19    57.97    48   
6    1   6    39       67.55    60   
7    1   7    24.1     74.18    72   
8    1   8    8.15     77.57    84   
9    1   9    -8.15    77.57    96   
10   1   10   -24.1    74.18    108  
11   1   11   -39      67.55    120  
12   1   12   -52.19   57.97    132  
13   1   13   -63.1    45.85    144  
14   1   14   -71.26   31.73    156  
15   1   15   -76.3    16.22    168  
16   1   16   -78      0        180  
17   1   17   -76.3    -16.22   192  
18   1   18   -71.26   -31.73   204  
19   1   19   -63.1    -45.85   216  
