Number of robot passes: 96

Number of trays: 6

Tray 1
No  Cir Pos     X        Y     Angle 
1    1   1    89.8     0        0    
2    1   2    82.96    34.36    22.5 
3    1   3    63.5     63.5     45   
4    1   4    34.36    82.96    67.5 
5    1   5    0        89.8     90   
6    1   6    -34.36   82.96    112.5
7    1   7    -63.5    63.5     135  
8    1   8    -82.96   34.36    157.5
9    1   9    -89.8    0        180  
10   1   10   -82.96   -34.36   202.5
11   1   11   -63.5    -63.5    225  
12   1   12   -34.36   -82.96   247.5
13   1   13   0        -89.8    270  
14   1   14   34.36    -82.96   292.5
15   1   15   63.5     -63.5    315  
16   1   16   82.96    -34.36   337.5

Tray 2
No  Cir Pos     X        Y     Angle 
1    1   1    89.8     0        0    
2    1   2    82.96    34.36    22.5 
3    1   3    63.5     63.5     45   
4    1   4    34.36    82.96    67.5 
5    1   5    0        89.8     90   
6    1   6    -34.36   82.96    112.5
7    1   7    -63.5    63.5     135  
8    1   8    -82.96   34.36    157.5
9    1   9    -89.8    0        180  
10   1   10   -82.96   -34.36   202.5
11   1   11   -63.5    -63.5    225  
12   1   12   -34.36   -82.96   247.5
13   1   13   0        -89.8    270  
14   1   14   34.36    -82.96   292.5
15   1   15   63.5     -63.5    315  
16   1   16   82.96    -34.36   337.5

Tray 3
No  Cir Pos     X        Y     Angle 
1    1   1    89.8     0        0    
2    1   2    82.96    34.36    22.5 
3    1   3    63.5     63.5     45   
4    1   4    34.36    82.96    67.5 
5    1   5    0        89.8     90   
6    1   6    -34.36   82.96    112.5
7    1   7    -63.5    63.5     135  
8    1   8    -82.96   34.36    157.5
9    1   9    -89.8    0        180  
10   1   10   -82.96   -34.36   202.5
11   1   11   -63.5    -63.5    225  
12   1   12   -34.36   -82.96   247.5
13   1   13   0        -89.8    270  
14   1   14   34.36    -82.96   292.5
15   1   15   63.5     -63.5    315  
16   1   16   82.96    -34.36   337.5

Tray 4
No  Cir Pos     X        Y     Angle 
1    1   1    89.8     0        0    
2    1   2    82.96    34.36    22.5 
3    1   3    63.5     63.5     45   
4    1   4    34.36    82.96    67.5 
5    1   5    0        89.8     90   
6    1   6    -34.36   82.96    112.5
7    1   7    -63.5    63.5     135  
8    1   8    -82.96   34.36    157.5
9    1   9    -89.8    0        180  
10   1   10   -82.96   -34.36   202.5
11   1   11   -63.5    -63.5    225  
12   1   12   -34.36   -82.96   247.5
13   1   13   0        -89.8    270  
14   1   14   34.36    -82.96   292.5
15   1   15   63.5     -63.5    315  
16   1   16   82.96    -34.36   337.5

Tray 5
No  Cir Pos     X        Y     Angle 
1    1   1    89.8     0        0    
2    1   2    82.96    34.36    22.5 
3    1   3    63.5     63.5     45   
4    1   4    34.36    82.96    67.5 
5    1   5    0        89.8     90   
6    1   6    -34.36   82.96    112.5
7    1   7    -63.5    63.5     135  
8    1   8    -82.96   34.36    157.5
9    1   9    -89.8    0        180  
10   1   10   -82.96   -34.36   202.5
11   1   11   -63.5    -63.5    225  
12   1   12   -34.36   -82.96   247.5
13   1   13   0        -89.8    270  
14   1   14   34.36    -82.96   292.5
15   1   15   63.5     -63.5    315  
16   1   16   82.96    -34.36   337.5

Tray 6
No  Cir Pos     X        Y     Angle 
1    1   1    89.8     0        0    
2    1   2    82.96    34.36    22.5 
3    1   3    63.5     63.5     45   
4    1   4    34.36    82.96    67.5 
5    1   5    0        89.8     90   
6    1   6    -34.36   82.96    112.5
7    1   7    -63.5    63.5     135  
8    1   8    -82.96   34.36    157.5
9    1   9    -89.8    0        180  
10   1   10   -82.96   -34.36   202.5
11   1   11   -63.5    -63.5    225  
12   1   12   -34.36   -82.96   247.5
13   1   13   0        -89.8    270  
14   1   14   34.36    -82.96   292.5
15   1   15   63.5     -63.5    315  
16   1   16   82.96    -34.36   337.5
