Number of robot passes: 60

Number of trays: 6

Tray 1
No  Cir Pos     X        Y     Angle 
1    1   1    82       0        0    
2    1   2    68.98    44.33    32.7 
3    1   3    34.06    74.59    65.5 
4    1   4    -11.67   81.17    98.2 
5    1   5    -53.7    61.97    130.9
6    1   6    -78.68   23.1     163.6
7    1   7    -78.68   -23.1    196.4
8    1   9    -11.67   -81.17   261.8
9    1   10   34.06    -74.59   294.5
10   1   11   68.98    -44.33   327.3

Tray 2
No  Cir Pos     X        Y     Angle 
1    1   1    82       0        0    
2    1   2    68.98    44.33    32.7 
3    1   3    34.06    74.59    65.5 
4    1   4    -11.67   81.17    98.2 
5    1   5    -53.7    61.97    130.9
6    1   6    -78.68   23.1     163.6
7    1   7    -78.68   -23.1    196.4
8    1   9    -11.67   -81.17   261.8
9    1   10   34.06    -74.59   294.5
10   1   11   68.98    -44.33   327.3

Tray 3
No  Cir Pos     X        Y     Angle 
1    1   1    82       0        0    
2    1   2    68.98    44.33    32.7 
3    1   3    34.06    74.59    65.5 
4    1   4    -11.67   81.17    98.2 
5    1   5    -53.7    61.97    130.9
6    1   6    -78.68   23.1     163.6
7    1   7    -78.68   -23.1    196.4
8    1   9    -11.67   -81.17   261.8
9    1   10   34.06    -74.59   294.5
10   1   11   68.98    -44.33   327.3

Tray 4
No  Cir Pos     X        Y     Angle 
1    1   1    82       0        0    
2    1   2    68.98    44.33    32.7 
3    1   3    34.06    74.59    65.5 
4    1   4    -11.67   81.17    98.2 
5    1   5    -53.7    61.97    130.9
6    1   6    -78.68   23.1     163.6
7    1   7    -78.68   -23.1    196.4
8    1   9    -11.67   -81.17   261.8
9    1   10   34.06    -74.59   294.5
10   1   11   68.98    -44.33   327.3

Tray 5
No  Cir Pos     X        Y     Angle 
1    1   1    82       0        0    
2    1   2    68.98    44.33    32.7 
3    1   3    34.06    74.59    65.5 
4    1   4    -11.67   81.17    98.2 
5    1   5    -53.7    61.97    130.9
6    1   6    -78.68   23.1     163.6
7    1   7    -78.68   -23.1    196.4
8    1   9    -11.67   -81.17   261.8
9    1   10   34.06    -74.59   294.5
10   1   11   68.98    -44.33   327.3

Tray 6
No  Cir Pos     X        Y     Angle 
1    1   1    82       0        0    
2    1   2    68.98    44.33    32.7 
3    1   3    34.06    74.59    65.5 
4    1   4    -11.67   81.17    98.2 
5    1   5    -53.7    61.97    130.9
6    1   6    -78.68   23.1     163.6
7    1   7    -78.68   -23.1    196.4
8    1   9    -11.67   -81.17   261.8
9    1   10   34.06    -74.59   294.5
10   1   11   68.98    -44.33   327.3
