Number of robot passes: 180

Number of trays: 6

Tray 1
No  Cir Pos     X        Y     Angle 
1    1   1    89.8     0        0    
2    1   2    84.93    29.16    18.9 
3    1   3    70.86    55.16    37.9 
4    1   4    49.12    75.18    56.8 
5    1   5    22.04    87.05    75.8 
6    1   6    -7.42    89.49    94.7 
7    1   7    -36.07   82.24    113.7
8    1   8    -60.82   66.07    132.6
9    1   9    -78.98   42.74    151.6
10   1   10   -88.58   14.78    170.5
11   1   11   -88.58   -14.78   189.5
12   1   12   -78.98   -42.74   208.4
13   1   13   -60.82   -66.07   227.4
14   1   14   -36.07   -82.24   246.3
15   1   15   -7.42    -89.49   265.3
16   1   16   22.04    -87.05   284.2
17   1   17   49.12    -75.18   303.2
18   1   18   70.86    -55.16   322.1
19   1   19   84.93    -29.16   341.1
20   2   1    59.26    9.39     0    
21   2   2    44.78    39.94    32.7 
22   2   3    16.08    57.81    65.5 
23   2   4    -17.72   57.32    98.2 
24   2   5    -45.9    38.64    130.9
25   2   6    -59.51   7.69     163.6
26   2   7    -54.22   -25.7    196.4
27   2   8    -31.71   -50.93   229.1
28   2   9    .86      -59.99   261.8
29   2   10   33.16    -50.01   294.5
30   2   11   54.93    -24.14   327.3

Tray 2
No  Cir Pos     X        Y     Angle 
1    1   1    89.8     0        0    
2    1   2    84.93    29.16    18.9 
3    1   3    70.86    55.16    37.9 
4    1   4    49.12    75.18    56.8 
5    1   5    22.04    87.05    75.8 
6    1   6    -7.42    89.49    94.7 
7    1   7    -36.07   82.24    113.7
8    1   8    -60.82   66.07    132.6
9    1   9    -78.98   42.74    151.6
10   1   10   -88.58   14.78    170.5
11   1   11   -88.58   -14.78   189.5
12   1   12   -78.98   -42.74   208.4
13   1   13   -60.82   -66.07   227.4
14   1   14   -36.07   -82.24   246.3
15   1   15   -7.42    -89.49   265.3
16   1   16   22.04    -87.05   284.2
17   1   17   49.12    -75.18   303.2
18   1   18   70.86    -55.16   322.1
19   1   19   84.93    -29.16   341.1
20   2   1    59.26    9.39     0    
21   2   2    44.78    39.94    32.7 
22   2   3    16.08    57.81    65.5 
23   2   4    -17.72   57.32    98.2 
24   2   5    -45.9    38.64    130.9
25   2   6    -59.51   7.69     163.6
26   2   7    -54.22   -25.7    196.4
27   2   8    -31.71   -50.93   229.1
28   2   9    .86      -59.99   261.8
29   2   10   33.16    -50.01   294.5
30   2   11   54.93    -24.14   327.3

Tray 3
No  Cir Pos     X        Y     Angle 
1    1   1    89.8     0        0    
2    1   2    84.93    29.16    18.9 
3    1   3    70.86    55.16    37.9 
4    1   4    49.12    75.18    56.8 
5    1   5    22.04    87.05    75.8 
6    1   6    -7.42    89.49    94.7 
7    1   7    -36.07   82.24    113.7
8    1   8    -60.82   66.07    132.6
9    1   9    -78.98   42.74    151.6
10   1   10   -88.58   14.78    170.5
11   1   11   -88.58   -14.78   189.5
12   1   12   -78.98   -42.74   208.4
13   1   13   -60.82   -66.07   227.4
14   1   14   -36.07   -82.24   246.3
15   1   15   -7.42    -89.49   265.3
16   1   16   22.04    -87.05   284.2
17   1   17   49.12    -75.18   303.2
18   1   18   70.86    -55.16   322.1
19   1   19   84.93    -29.16   341.1
20   2   1    59.26    9.39     0    
21   2   2    44.78    39.94    32.7 
22   2   3    16.08    57.81    65.5 
23   2   4    -17.72   57.32    98.2 
24   2   5    -45.9    38.64    130.9
25   2   6    -59.51   7.69     163.6
26   2   7    -54.22   -25.7    196.4
27   2   8    -31.71   -50.93   229.1
28   2   9    .86      -59.99   261.8
29   2   10   33.16    -50.01   294.5
30   2   11   54.93    -24.14   327.3

Tray 4
No  Cir Pos     X        Y     Angle 
1    1   1    89.8     0        0    
2    1   2    84.93    29.16    18.9 
3    1   3    70.86    55.16    37.9 
4    1   4    49.12    75.18    56.8 
5    1   5    22.04    87.05    75.8 
6    1   6    -7.42    89.49    94.7 
7    1   7    -36.07   82.24    113.7
8    1   8    -60.82   66.07    132.6
9    1   9    -78.98   42.74    151.6
10   1   10   -88.58   14.78    170.5
11   1   11   -88.58   -14.78   189.5
12   1   12   -78.98   -42.74   208.4
13   1   13   -60.82   -66.07   227.4
14   1   14   -36.07   -82.24   246.3
15   1   15   -7.42    -89.49   265.3
16   1   16   22.04    -87.05   284.2
17   1   17   49.12    -75.18   303.2
18   1   18   70.86    -55.16   322.1
19   1   19   84.93    -29.16   341.1
20   2   1    59.26    9.39     0    
21   2   2    44.78    39.94    32.7 
22   2   3    16.08    57.81    65.5 
23   2   4    -17.72   57.32    98.2 
24   2   5    -45.9    38.64    130.9
25   2   6    -59.51   7.69     163.6
26   2   7    -54.22   -25.7    196.4
27   2   8    -31.71   -50.93   229.1
28   2   9    .86      -59.99   261.8
29   2   10   33.16    -50.01   294.5
30   2   11   54.93    -24.14   327.3

Tray 5
No  Cir Pos     X        Y     Angle 
1    1   1    89.8     0        0    
2    1   2    84.93    29.16    18.9 
3    1   3    70.86    55.16    37.9 
4    1   4    49.12    75.18    56.8 
5    1   5    22.04    87.05    75.8 
6    1   6    -7.42    89.49    94.7 
7    1   7    -36.07   82.24    113.7
8    1   8    -60.82   66.07    132.6
9    1   9    -78.98   42.74    151.6
10   1   10   -88.58   14.78    170.5
11   1   11   -88.58   -14.78   189.5
12   1   12   -78.98   -42.74   208.4
13   1   13   -60.82   -66.07   227.4
14   1   14   -36.07   -82.24   246.3
15   1   15   -7.42    -89.49   265.3
16   1   16   22.04    -87.05   284.2
17   1   17   49.12    -75.18   303.2
18   1   18   70.86    -55.16   322.1
19   1   19   84.93    -29.16   341.1
20   2   1    59.26    9.39     0    
21   2   2    44.78    39.94    32.7 
22   2   3    16.08    57.81    65.5 
23   2   4    -17.72   57.32    98.2 
24   2   5    -45.9    38.64    130.9
25   2   6    -59.51   7.69     163.6
26   2   7    -54.22   -25.7    196.4
27   2   8    -31.71   -50.93   229.1
28   2   9    .86      -59.99   261.8
29   2   10   33.16    -50.01   294.5
30   2   11   54.93    -24.14   327.3

Tray 6
No  Cir Pos     X        Y     Angle 
1    1   1    89.8     0        0    
2    1   2    84.93    29.16    18.9 
3    1   3    70.86    55.16    37.9 
4    1   4    49.12    75.18    56.8 
5    1   5    22.04    87.05    75.8 
6    1   6    -7.42    89.49    94.7 
7    1   7    -36.07   82.24    113.7
8    1   8    -60.82   66.07    132.6
9    1   9    -78.98   42.74    151.6
10   1   10   -88.58   14.78    170.5
11   1   11   -88.58   -14.78   189.5
12   1   12   -78.98   -42.74   208.4
13   1   13   -60.82   -66.07   227.4
14   1   14   -36.07   -82.24   246.3
15   1   15   -7.42    -89.49   265.3
16   1   16   22.04    -87.05   284.2
17   1   17   49.12    -75.18   303.2
18   1   18   70.86    -55.16   322.1
19   1   19   84.93    -29.16   341.1
20   2   1    59.26    9.39     0    
21   2   2    44.78    39.94    32.7 
22   2   3    16.08    57.81    65.5 
23   2   4    -17.72   57.32    98.2 
24   2   5    -45.9    38.64    130.9
25   2   6    -59.51   7.69     163.6
26   2   7    -54.22   -25.7    196.4
27   2   8    -31.71   -50.93   229.1
28   2   9    .86      -59.99   261.8
29   2   10   33.16    -50.01   294.5
30   2   11   54.93    -24.14   327.3
