Number of robot passes: 432

Number of trays: 6

Tray 1
No  Cir Pos     X        Y     Angle 
1    1   1    95.5     0        60   
2    1   2    88.23    36.55    82.5 
3    1   3    67.53    67.53    105  
4    1   4    36.55    88.23    127.5
5    1   5    0        95.5     150  
6    1   6    -36.55   88.23    172.5
7    1   7    -67.53   67.53    195  
8    1   8    -88.23   36.55    217.5
9    1   9    -95.5    0        240  
10   1   10   -88.23   -36.55   262.5
11   1   11   -67.53   -67.53   285  
12   1   12   -36.55   -88.23   307.5
13   1   13   0        -95.5    330  
14   1   14   36.55    -88.23   352.5
15   1   15   67.53    -67.53   375  
16   1   16   88.23    -36.55   397.5
17   2   1    92.23    18.18    0    
18   2   2    78.25    52.09    22.5 
19   2   3    52.36    78.07    45   
20   2   4    18.5     92.16    67.5 
21   2   5    -18.18   92.23    90   
22   2   6    -52.09   78.25    112.5
23   2   7    -78.07   52.36    135  
24   2   8    -92.16   18.5     157.5
25   2   9    -92.23   -18.18   180  
26   2   10   -78.25   -52.09   202.5
27   2   11   -52.36   -78.07   225  
28   2   12   -18.5    -92.16   247.5
29   2   13   18.18    -92.23   270  
30   2   14   52.09    -78.25   292.5
31   2   15   78.07    -52.36   315  
32   2   16   92.16    -18.5    337.5
33   3   1    75       0        60   
34   3   2    64.95    37.5     90   
35   3   3    37.5     64.95    120  
36   3   4    0        75       150  
37   3   5    -37.5    64.95    180  
38   3   6    -64.95   37.5     210  
39   3   7    -75      0        240  
40   3   8    -64.95   -37.5    270  
41   3   9    -37.5    -64.95   300  
42   3   10   0        -75      330  
43   3   11   37.5     -64.95   360  
44   3   12   64.95    -37.5    390  
45   4   1    72       19.16    0    
46   4   2    52.77    52.59    30   
47   4   3    19.41    71.93    60   
48   4   4    -19.16   72       90   
49   4   5    -52.59   52.77    120  
50   4   6    -71.93   19.41    150  
51   4   7    -72      -19.16   180  
52   4   8    -52.77   -52.59   210  
53   4   9    -19.41   -71.93   240  
54   4   10   19.16    -72      270  
55   4   11   52.59    -52.77   300  
56   4   12   71.93    -19.41   330  
57   5   1    54.5     0        60   
58   5   2    38.54    38.54    105  
59   5   3    0        54.5     150  
60   5   4    -38.54   38.54    195  
61   5   5    -54.5    0        240  
62   5   6    -38.54   -38.54   285  
63   5   7    0        -54.5    330  
64   5   8    38.54    -38.54   375  
65   6   1    49       20.2     0    
66   6   2    20.37    48.93    45   
67   6   3    -20.2    49       90   
68   6   4    -48.93   20.37    135  
69   6   5    -49      -20.2    180  
70   6   6    -20.37   -48.93   225  
71   6   7    20.2     -49      270  
72   6   8    48.93    -20.37   315  

Tray 2
No  Cir Pos     X        Y     Angle 
1    1   1    95.5     0        60   
2    1   2    88.23    36.55    82.5 
3    1   3    67.53    67.53    105  
4    1   4    36.55    88.23    127.5
5    1   5    0        95.5     150  
6    1   6    -36.55   88.23    172.5
7    1   7    -67.53   67.53    195  
8    1   8    -88.23   36.55    217.5
9    1   9    -95.5    0        240  
10   1   10   -88.23   -36.55   262.5
11   1   11   -67.53   -67.53   285  
12   1   12   -36.55   -88.23   307.5
13   1   13   0        -95.5    330  
14   1   14   36.55    -88.23   352.5
15   1   15   67.53    -67.53   375  
16   1   16   88.23    -36.55   397.5
17   2   1    92.23    18.18    0    
18   2   2    78.25    52.09    22.5 
