Number of robot passes: 192

Number of trays: 6

Tray 1
No  Cir Pos     X        Y     Angle 
1    1   1    95.5     0        0    
2    1   2    88.23    36.55    22.5 
3    1   3    67.53    67.53    45   
4    1   4    36.55    88.23    67.5 
5    1   5    0        95.5     90   
6    1   6    -36.55   88.23    112.5
7    1   7    -67.53   67.53    135  
8    1   8    -88.23   36.55    157.5
9    1   9    -95.5    0        180  
10   1   10   -88.23   -36.55   202.5
11   1   11   -67.53   -67.53   225  
12   1   12   -36.55   -88.23   247.5
13   1   13   0        -95.5    270  
14   1   14   36.55    -88.23   292.5
15   1   15   67.53    -67.53   315  
16   1   16   88.23    -36.55   337.5
17   2   1    92.19    18.34    60   
18   2   2    78.16    52.22    82.5 
19   2   3    52.22    78.16    105  
20   2   4    18.34    92.19    127.5
21   2   5    -18.34   92.19    150  
22   2   6    -52.22   78.16    172.5
23   2   7    -78.16   52.22    195  
24   2   8    -92.19   18.34    217.5
25   2   9    -92.19   -18.34   240  
26   2   10   -78.16   -52.22   262.5
27   2   11   -52.22   -78.16   285  
28   2   12   -18.34   -92.19   307.5
29   2   13   18.34    -92.19   330  
30   2   14   52.22    -78.16   352.5
31   2   15   78.16    -52.22   375  
32   2   16   92.19    -18.34   397.5

Tray 2
No  Cir Pos     X        Y     Angle 
1    1   1    95.5     0        0    
2    1   2    88.23    36.55    22.5 
3    1   3    67.53    67.53    45   
4    1   4    36.55    88.23    67.5 
5    1   5    0        95.5     90   
6    1   6    -36.55   88.23    112.5
7    1   7    -67.53   67.53    135  
8    1   8    -88.23   36.55    157.5
9    1   9    -95.5    0        180  
10   1   10   -88.23   -36.55   202.5
11   1   11   -67.53   -67.53   225  
12   1   12   -36.55   -88.23   247.5
13   1   13   0        -95.5    270  
14   1   14   36.55    -88.23   292.5
15   1   15   67.53    -67.53   315  
16   1   16   88.23    -36.55   337.5
17   2   1    92.19    18.34    60   
18   2   2    78.16    52.22    82.5 
19   2   3    52.22    78.16    105  
20   2   4    18.34    92.19    127.5
21   2   5    -18.34   92.19    150  
22   2   6    -52.22   78.16    172.5
23   2   7    -78.16   52.22    195  
24   2   8    -92.19   18.34    217.5
25   2   9    -92.19   -18.34   240  
26   2   10   -78.16   -52.22   262.5
27   2   11   -52.22   -78.16   285  
28   2   12   -18.34   -92.19   307.5
29   2   13   18.34    -92.19   330  
30   2   14   52.22    -78.16   352.5
31   2   15   78.16    -52.22   375  
32   2   16   92.19    -18.34   397.5

Tray 3
No  Cir Pos     X        Y     Angle 
1    1   1    95.5     0        0    
2    1   2    88.23    36.55    22.5 
3    1   3    67.53    67.53    45   
4    1   4    36.55    88.23    67.5 
5    1   5    0        95.5     90   
6    1   6    -36.55   88.23    112.5
7    1   7    -67.53   67.53    135  
8    1   8    -88.23   36.55    157.5
9    1   9    -95.5    0        180  
10   1   10   -88.23   -36.55   202.5
11   1   11   -67.53   -67.53   225  
12   1   12   -36.55   -88.23   247.5
13   1   13   0        -95.5    270  
14   1   14   36.55    -88.23   292.5
15   1   15   67.53    -67.53   315  
16   1   16   88.23    -36.55   337.5
17   2   1    92.19    18.34    60   
18   2   2    78.16    52.22    82.5 
19   2   3    52.22    78.16    105  
20   2   4    18.34    92.19    127.5
21   2   5    -18.34   92.19    150  
22   2   6    -52.22   78.16    172.5
23   2   7    -78.16   52.22    195  
