Number of robot passes: 288

Number of trays: 6

Tray 1
No  Cir Pos     X        Y     Angle 
1    1   1    96.3     0        10   
2    1   2    88.97    36.85    32.5 
3    1   3    68.09    68.09    55   
4    1   4    36.85    88.97    77.5 
5    1   5    0        96.3     100  
6    1   6    -36.85   88.97    122.5
7    1   7    -68.09   68.09    145  
8    1   8    -88.97   36.85    167.5
9    1   9    -96.3    0        190  
10   1   10   -88.97   -36.85   212.5
11   1   11   -68.09   -68.09   235  
12   1   12   -36.85   -88.97   257.5
13   1   13   0        -96.3    280  
14   1   14   36.85    -88.97   302.5
15   1   15   68.09    -68.09   325  
16   1   16   88.97    -36.85   347.5
17   2   1    79.5     0        22.5 
18   2   2    73.45    30.42    45   
19   2   3    56.21    56.21    67.5 
20   2   4    30.42    73.45    90   
21   2   5    0        79.5     112.5
22   2   6    -30.42   73.45    135  
23   2   7    -56.21   56.21    157.5
24   2   8    -73.45   30.42    180  
25   2   9    -79.5    0        202.5
26   2   10   -73.45   -30.42   225  
27   2   11   -56.21   -56.21   247.5
28   2   12   -30.42   -73.45   270  
29   2   13   0        -79.5    292.5
30   2   14   30.42    -73.45   315  
31   2   15   56.21    -56.21   337.5
32   2   16   73.45    -30.42   360  
33   3   1    58.5     0        40   
34   3   2    54.05    22.39    62.5 
35   3   3    41.37    41.37    85   
36   3   4    22.39    54.05    107.5
37   3   5    0        58.5     130  
38   3   6    -22.39   54.05    152.5
39   3   7    -41.37   41.37    175  
40   3   8    -54.05   22.39    197.5
41   3   9    -58.5    0        220  
42   3   10   -54.05   -22.39   242.5
43   3   11   -41.37   -41.37   265  
44   3   12   -22.39   -54.05   287.5
45   3   13   0        -58.5    310  
46   3   14   22.39    -54.05   332.5
47   3   15   41.37    -41.37   355  
48   3   16   54.05    -22.39   377.5

Tray 2
No  Cir Pos     X        Y     Angle 
1    1   1    96.3     0        10   
2    1   2    88.97    36.85    32.5 
3    1   3    68.09    68.09    55   
4    1   4    36.85    88.97    77.5 
5    1   5    0        96.3     100  
6    1   6    -36.85   88.97    122.5
7    1   7    -68.09   68.09    145  
8    1   8    -88.97   36.85    167.5
9    1   9    -96.3    0        190  
10   1   10   -88.97   -36.85   212.5
11   1   11   -68.09   -68.09   235  
12   1   12   -36.85   -88.97   257.5
13   1   13   0        -96.3    280  
14   1   14   36.85    -88.97   302.5
15   1   15   68.09    -68.09   325  
16   1   16   88.97    -36.85   347.5
17   2   1    79.5     0        22.5 
18   2   2    73.45    30.42    45   
19   2   3    56.21    56.21    67.5 
20   2   4    30.42    73.45    90   
21   2   5    0        79.5     112.5
22   2   6    -30.42   73.45    135  
23   2   7    -56.21   56.21    157.5
24   2   8    -73.45   30.42    180  
25   2   9    -79.5    0        202.5
26   2   10   -73.45   -30.42   225  
27   2   11   -56.21   -56.21   247.5
28   2   12   -30.42   -73.45   270  
29   2   13   0        -79.5    292.5
30   2   14   30.42    -73.45   315  
31   2   15   56.21    -56.21   337.5
32   2   16   73.45    -30.42   360  
33   3   1    58.5     0        40   
34   3   2    54.05    22.39    62.5 
35   3   3    41.37    41.37    85   
36   3   4    22.39    54.05    107.5
37   3   5    0        58.5     130  
38   3   6    -22.39   54.05    152.5
39   3   7    -41.37   41.37    175  
40   3   8    -54.05   22.39    197.5
41   3   9    -58.5    0        220  
42   3   10   -54.05   -22.39   242.5
43   3   11   -41.37   -41.37   265  
44   3   12   -22.39   -54.05   287.5
45   3   13   0        -58.5    310  
46   3   14   22.39    -54.05   332.5
47   3   15   41.37    -41.37   355  
48   3   16   54.05    -22.39   377.5

Tray 3
No  Cir Pos     X        Y     Angle 
1    1   1    96.3     0        10   
2    1   2    88.97    36.85    32.5 
3    1   3    68.09    68.09    55   
4    1   4    36.85    88.97    77.5 
5    1   5    0        96.3     100  
6    1   6    -36.85   88.97    122.5
7    1   7    -68.09   68.09    145  
8    1   8    -88.97   36.85    167.5
9    1   9    -96.3    0        190  
10   1   10   -88.97   -36.85   212.5
11   1   11   -68.09   -68.09   235  
