Number of robot passes: 180

Number of trays: 6

Tray 1
No  Cir Pos     X        Y     Angle 
1    1   1    90.3     0        0    
2    1   2    84.85    30.88    20   
3    1   3    69.17    58.04    40   
4    1   4    45.15    78.2     60   
5    1   5    15.68    88.93    80   
6    1   6    -15.68   88.93    100  
7    1   7    -45.15   78.2     120  
8    1   8    -69.17   58.04    140  
9    1   9    -84.85   30.88    160  
10   1   10   -90.3    0        180  
11   1   11   -84.85   -30.88   200  
12   1   12   -69.17   -58.04   220  
13   1   13   -45.15   -78.2    240  
14   1   14   -15.68   -88.93   260  
15   1   15   15.68    -88.93   280  
16   1   16   45.15    -78.2    300  
17   1   17   69.17    -58.04   320  
18   1   18   84.85    -30.88   340  
19   2   1    60.1     0        0    
20   2   2    52.05    30.05    30   
21   2   3    30.05    52.05    60   
22   2   4    0        60.1     90   
23   2   5    -30.05   52.05    120  
24   2   6    -52.05   30.05    150  
25   2   7    -60.1    0        180  
26   2   8    -52.05   -30.05   210  
27   2   9    -30.05   -52.05   240  
28   2   10   0        -60.1    270  
29   2   11   30.05    -52.05   300  
30   2   12   52.05    -30.05   330  

Tray 2
No  Cir Pos     X        Y     Angle 
1    1   1    90.3     0        0    
2    1   2    84.85    30.88    20   
3    1   3    69.17    58.04    40   
4    1   4    45.15    78.2     60   
5    1   5    15.68    88.93    80   
6    1   6    -15.68   88.93    100  
7    1   7    -45.15   78.2     120  
8    1   8    -69.17   58.04    140  
9    1   9    -84.85   30.88    160  
10   1   10   -90.3    0        180  
11   1   11   -84.85   -30.88   200  
12   1   12   -69.17   -58.04   220  
13   1   13   -45.15   -78.2    240  
14   1   14   -15.68   -88.93   260  
15   1   15   15.68    -88.93   280  
16   1   16   45.15    -78.2    300  
17   1   17   69.17    -58.04   320  
18   1   18   84.85    -30.88   340  
19   2   1    60.1     0        0    
20   2   2    52.05    30.05    30   
21   2   3    30.05    52.05    60   
22   2   4    0        60.1     90   
23   2   5    -30.05   52.05    120  
24   2   6    -52.05   30.05    150  
25   2   7    -60.1    0        180  
26   2   8    -52.05   -30.05   210  
27   2   9    -30.05   -52.05   240  
28   2   10   0        -60.1    270  
29   2   11   30.05    -52.05   300  
30   2   12   52.05    -30.05   330  

Tray 3
No  Cir Pos     X        Y     Angle 
1    1   1    90.3     0        0    
2    1   2    84.85    30.88    20   
3    1   3    69.17    58.04    40   
4    1   4    45.15    78.2     60   
5    1   5    15.68    88.93    80   
6    1   6    -15.68   88.93    100  
7    1   7    -45.15   78.2     120  
8    1   8    -69.17   58.04    140  
9    1   9    -84.85   30.88    160  
10   1   10   -90.3    0        180  
11   1   11   -84.85   -30.88   200  
12   1   12   -69.17   -58.04   220  
13   1   13   -45.15   -78.2    240  
14   1   14   -15.68   -88.93   260  
15   1   15   15.68    -88.93   280  
16   1   16   45.15    -78.2    300  
17   1   17   69.17    -58.04   320  
18   1   18   84.85    -30.88   340  
19   2   1    60.1     0        0    
20   2   2    52.05    30.05    30   
21   2   3    30.05    52.05    60   
22   2   4    0        60.1     90   
23   2   5    -30.05   52.05    120  
24   2   6    -52.05   30.05    150  
25   2   7    -60.1    0        180  
26   2   8    -52.05   -30.05   210  
27   2   9    -30.05   -52.05   240  
28   2   10   0        -60.1    270  
29   2   11   30.05    -52.05   300  
30   2   12   52.05    -30.05   330  

Tray 4
No  Cir Pos     X        Y     Angle 
1    1   1    90.3     0        0    
2    1   2    84.85    30.88    20   
3    1   3    69.17    58.04    40   
4    1   4    45.15    78.2     60   
5    1   5    15.68    88.93    80   
6    1   6    -15.68   88.93    100  
7    1   7    -45.15   78.2     120  
8    1   8    -69.17   58.04    140  
9    1   9    -84.85   30.88    160  
10   1   10   -90.3    0        180  
11   1   11   -84.85   -30.88   200  
12   1   12   -69.17   -58.04   220  
13   1   13   -45.15   -78.2    240  
14   1   14   -15.68   -88.93   260  
15   1   15   15.68    -88.93   280  
16   1   16   45.15    -78.2    300  
17   1   17   69.17    -58.04   320  
18   1   18   84.85    -30.88   340  
19   2   1    60.1     0        0    
20   2   2    52.05    30.05    30   
21   2   3    30.05    52.05    60   
22   2   4    0        60.1     90   
23   2   5    -30.05   52.05    120  
24   2   6    -52.05   30.05    150  
25   2   7    -60.1    0        180  
26   2   8    -52.05   -30.05   210  
27   2   9    -30.05   -52.05   240  
28   2   10   0        -60.1    270  
29   2   11   30.05    -52.05   300  
30   2   12   52.05    -30.05   330  

Tray 5
No  Cir Pos     X        Y     Angle 
1    1   1    90.3     0        0    
2    1   2    84.85    30.88    20   
3    1   3    69.17    58.04    40   
4    1   4    45.15    78.2     60   
5    1   5    15.68    88.93    80   
6    1   6    -15.68   88.93    100  
7    1   7    -45.15   78.2     120  
8    1   8    -69.17   58.04    140  
9    1   9    -84.85   30.88    160  
10   1   10   -90.3    0        180  
11   1   11   -84.85   -30.88   200  
12   1   12   -69.17   -58.04   220  
13   1   13   -45.15   -78.2    240  
14   1   14   -15.68   -88.93   260  
15   1   15   15.68    -88.93   280  
16   1   16   45.15    -78.2    300  
17   1   17   69.17    -58.04   320  
18   1   18   84.85    -30.88   340  
19   2   1    60.1     0        0    
20   2   2    52.05    30.05    30   
21   2   3    30.05    52.05    60   
22   2   4    0        60.1     90   
23   2   5    -30.05   52.05    120  
24   2   6    -52.05   30.05    150  
25   2   7    -60.1    0        180  
26   2   8    -52.05   -30.05   210  
27   2   9    -30.05   -52.05   240  
28   2   10   0        -60.1    270  
29   2   11   30.05    -52.05   300  
30   2   12   52.05    -30.05   330  

Tray 6
No  Cir Pos     X        Y     Angle 
1    1   1    90.3     0        0    
2    1   2    84.85    30.88    20   
3    1   3    69.17    58.04    40   
4    1   4    45.15    78.2     60   
5    1   5    15.68    88.93    80   
6    1   6    -15.68   88.93    100  
7    1   7    -45.15   78.2     120  
8    1   8    -69.17   58.04    140  
9    1   9    -84.85   30.88    160  
10   1   10   -90.3    0        180  
11   1   11   -84.85   -30.88   200  
12   1   12   -69.17   -58.04   220  
13   1   13   -45.15   -78.2    240  
14   1   14   -15.68   -88.93   260  
