Number of robot passes: 144

Number of trays: 6

Tray 1
No  Cir Pos     X        Y     Angle 
1    1   1    90       0        0    
2    1   2    81.09    39.05    25.7 
3    1   3    56.11    70.36    51.4 
4    1   4    20.03    87.74    77.1 
5    1   5    -20.03   87.74    102.9
6    1   6    -56.11   70.36    128.6
7    1   7    -81.09   39.05    154.3
8    1   8    -90      0        180  
9    1   9    -81.09   -39.05   205.7
10   1   10   -56.11   -70.36   231.4
11   1   11   -20.03   -87.74   257.1
12   1   12   20.03    -87.74   282.9
13   1   13   56.11    -70.36   308.6
14   1   14   81.09    -39.05   334.3
15   2   1    60       0        0    
16   2   2    48.54    35.27    36   
17   2   3    18.54    57.06    72   
18   2   4    -18.54   57.06    108  
19   2   5    -48.54   35.27    144  
20   2   6    -60      0        180  
21   2   7    -48.54   -35.27   216  
22   2   8    -18.54   -57.06   252  
23   2   9    18.54    -57.06   288  
24   2   10   48.54    -35.27   324  

Tray 2
No  Cir Pos     X        Y     Angle 
1    1   1    90       0        0    
2    1   2    81.09    39.05    25.7 
3    1   3    56.11    70.36    51.4 
4    1   4    20.03    87.74    77.1 
5    1   5    -20.03   87.74    102.9
6    1   6    -56.11   70.36    128.6
7    1   7    -81.09   39.05    154.3
8    1   8    -90      0        180  
9    1   9    -81.09   -39.05   205.7
10   1   10   -56.11   -70.36   231.4
11   1   11   -20.03   -87.74   257.1
12   1   12   20.03    -87.74   282.9
13   1   13   56.11    -70.36   308.6
14   1   14   81.09    -39.05   334.3
15   2   1    60       0        0    
16   2   2    48.54    35.27    36   
17   2   3    18.54    57.06    72   
18   2   4    -18.54   57.06    108  
19   2   5    -48.54   35.27    144  
20   2   6    -60      0        180  
21   2   7    -48.54   -35.27   216  
22   2   8    -18.54   -57.06   252  
23   2   9    18.54    -57.06   288  
24   2   10   48.54    -35.27   324  

Tray 3
No  Cir Pos     X        Y     Angle 
1    1   1    90       0        0    
2    1   2    81.09    39.05    25.7 
3    1   3    56.11    70.36    51.4 
4    1   4    20.03    87.74    77.1 
5    1   5    -20.03   87.74    102.9
6    1   6    -56.11   70.36    128.6
7    1   7    -81.09   39.05    154.3
8    1   8    -90      0        180  
9    1   9    -81.09   -39.05   205.7
10   1   10   -56.11   -70.36   231.4
11   1   11   -20.03   -87.74   257.1
12   1   12   20.03    -87.74   282.9
13   1   13   56.11    -70.36   308.6
14   1   14   81.09    -39.05   334.3
15   2   1    60       0        0    
16   2   2    48.54    35.27    36   
17   2   3    18.54    57.06    72   
18   2   4    -18.54   57.06    108  
19   2   5    -48.54   35.27    144  
20   2   6    -60      0        180  
21   2   7    -48.54   -35.27   216  
22   2   8    -18.54   -57.06   252  
23   2   9    18.54    -57.06   288  
24   2   10   48.54    -35.27   324  

Tray 4
No  Cir Pos     X        Y     Angle 
1    1   1    90       0        0    
2    1   2    81.09    39.05    25.7 
3    1   3    56.11    70.36    51.4 
4    1   4    20.03    87.74    77.1 
5    1   5    -20.03   87.74    102.9
6    1   6    -56.11   70.36    128.6
7    1   7    -81.09   39.05    154.3
8    1   8    -90      0        180  
9    1   9    -81.09   -39.05   205.7
10   1   10   -56.11   -70.36   231.4
11   1   11   -20.03   -87.74   257.1
12   1   12   20.03    -87.74   282.9
13   1   13   56.11    -70.36   308.6
14   1   14   81.09    -39.05   334.3
15   2   1    60       0        0    
16   2   2    48.54    35.27    36   
17   2   3    18.54    57.06    72   
18   2   4    -18.54   57.06    108  
19   2   5    -48.54   35.27    144  
20   2   6    -60      0        180  
21   2   7    -48.54   -35.27   216  
22   2   8    -18.54   -57.06   252  
23   2   9    18.54    -57.06   288  
24   2   10   48.54    -35.27   324  

Tray 5
No  Cir Pos     X        Y     Angle 
1    1   1    90       0        0    
2    1   2    81.09    39.05    25.7 
3    1   3    56.11    70.36    51.4 
4    1   4    20.03    87.74    77.1 
5    1   5    -20.03   87.74    102.9
6    1   6    -56.11   70.36    128.6
7    1   7    -81.09   39.05    154.3
8    1   8    -90      0        180  
9    1   9    -81.09   -39.05   205.7
10   1   10   -56.11   -70.36   231.4
11   1   11   -20.03   -87.74   257.1
12   1   12   20.03    -87.74   282.9
13   1   13   56.11    -70.36   308.6
14   1   14   81.09    -39.05   334.3
15   2   1    60       0        0    
16   2   2    48.54    35.27    36   
17   2   3    18.54    57.06    72   
18   2   4    -18.54   57.06    108  
19   2   5    -48.54   35.27    144  
20   2   6    -60      0        180  
21   2   7    -48.54   -35.27   216  
22   2   8    -18.54   -57.06   252  
23   2   9    18.54    -57.06   288  
24   2   10   48.54    -35.27   324  

Tray 6
No  Cir Pos     X        Y     Angle 
1    1   1    90       0        0    
2    1   2    81.09    39.05    25.7 
3    1   3    56.11    70.36    51.4 
4    1   4    20.03    87.74    77.1 
5    1   5    -20.03   87.74    102.9
6    1   6    -56.11   70.36    128.6
7    1   7    -81.09   39.05    154.3
8    1   8    -90      0        180  
9    1   9    -81.09   -39.05   205.7
10   1   10   -56.11   -70.36   231.4
11   1   11   -20.03   -87.74   257.1
12   1   12   20.03    -87.74   282.9
13   1   13   56.11    -70.36   308.6
14   1   14   81.09    -39.05   334.3
15   2   1    60       0        0    
16   2   2    48.54    35.27    36   
17   2   3    18.54    57.06    72   
18   2   4    -18.54   57.06    108  
19   2   5    -48.54   35.27    144  
20   2   6    -60      0        180  
21   2   7    -48.54   -35.27   216  
22   2   8    -18.54   -57.06   252  
23   2   9    18.54    -57.06   288  
24   2   10   48.54    -35.27   324  
