Num	ber	of r	obot p	asses:					
195									
									
No	*	Row	Col.	X	Y	*	*	*	*
									
									
1	*	2	2	53.1	25.2	*	*	*	*
2	*	2	4	86.3	25.2	*	*	*	*
3	*	2	6	119.5	25.2	*	*	*	*
4	*	2	8	152.7	25.2	*	*	*	*
5	*	2	10	185.9	25.2	*	*	*	*
6	*	2	12	219.1	25.2	*	*	*	*
7	*	2	14	252.3	25.2	*	*	*	*
8	*	2	16	285.5	25.2	*	*	*	*
9	*	3	1	36.5	36.9	*	*	*	*
10	*	4	2	53.1	48.6	*	*	*	*
11	*	3	3	69.7	36.9	*	*	*	*
12	*	4	4	86.3	48.6	*	*	*	*
13	*	3	5	102.9	36.9	*	*	*	*
14	*	4	6	119.5	48.6	*	*	*	*
15	*	3	7	136.1	36.9	*	*	*	*
16	*	4	8	152.7	48.6	*	*	*	*
17	*	3	9	169.3	36.9	*	*	*	*
18	*	4	10	185.9	48.6	*	*	*	*
19	*	3	11	202.5	36.9	*	*	*	*
20	*	4	12	219.1	48.6	*	*	*	*
21	*	3	13	235.7	36.9	*	*	*	*
22	*	4	14	252.3	48.6	*	*	*	*
23	*	3	15	268.9	36.9	*	*	*	*
24	*	4	16	285.5	48.6	*	*	*	*
25	*	3	17	302.1	36.9	*	*	*	*
26	*	5	1	36.5	60.3	*	*	*	*
27	*	6	2	53.1	72	*	*	*	*
28	*	5	3	69.7	60.3	*	*	*	*
29	*	6	4	86.3	72	*	*	*	*
30	*	5	5	102.9	60.3	*	*	*	*
31	*	6	6	119.5	72	*	*	*	*
32	*	5	7	136.1	60.3	*	*	*	*
33	*	6	8	152.7	72	*	*	*	*
34	*	5	9	169.3	60.3	*	*	*	*
35	*	6	10	185.9	72	*	*	*	*
36	*	5	11	202.5	60.3	*	*	*	*
37	*	6	12	219.1	72	*	*	*	*
38	*	5	13	235.7	60.3	*	*	*	*
39	*	6	14	252.3	72	*	*	*	*
40	*	5	15	268.9	60.3	*	*	*	*
41	*	6	16	285.5	72	*	*	*	*
42	*	5	17	302.1	60.3	*	*	*	*
43	*	7	1	36.5	83.7	*	*	*	*
44	*	8	2	53.1	95.4	*	*	*	*
45	*	7	3	69.7	83.7	*	*	*	*
46	*	8	4	86.3	95.4	*	*	*	*
47	*	7	5	102.9	83.7	*	*	*	*
48	*	8	6	119.5	95.4	*	*	*	*
49	*	7	7	136.1	83.7	*	*	*	*
50	*	8	8	152.7	95.4	*	*	*	*
51	*	7	9	169.3	83.7	*	*	*	*
52	*	8	10	185.9	95.4	*	*	*	*
53	*	7	11	202.5	83.7	*	*	*	*
54	*	8	12	219.1	95.4	*	*	*	*
55	*	7	13	235.7	83.7	*	*	*	*
56	*	8	14	252.3	95.4	*	*	*	*
57	*	7	15	268.9	83.7	*	*	*	*
58	*	8	16	285.5	95.4	*	*	*	*
59	*	7	17	302.1	83.7	*	*	*	*
60	*	9	1	36.5	107.1	*	*	*	*
61	*	10	2	53.1	118.8	*	*	*	*
62	*	9	3	69.7	107.1	*	*	*	*
63	*	10	4	86.3	118.8	*	*	*	*
64	*	9	5	102.9	107.1	*	*	*	*
65	*	10	6	119.5	118.8	*	*	*	*
66	*	9	7	136.1	107.1	*	*	*	*
67	*	10	8	152.7	118.8	*	*	*	*
68	*	9	9	169.3	107.1	*	*	*	*
69	*	10	10	185.9	118.8	*	*	*	*
70	*	9	11	202.5	107.1	*	*	*	*
71	*	10	12	219.1	118.8	*	*	*	*
72	*	9	13	235.7	107.1	*	*	*	*
73	*	10	14	252.3	118.8	*	*	*	*
74	*	9	15	268.9	107.1	*	*	*	*
75	*	10	16	285.5	118.8	*	*	*	*
76	*	9	17	302.1	107.1	*	*	*	*
77	*	11	1	36.5	130.5	*	*	*	*
78	*	12	2	53.1	142.2	*	*	*	*
79	*	11	3	69.7	130.5	*	*	*	*
80	*	12	4	86.3	142.2	*	*	*	*
81	*	11	5	102.9	130.5	*	*	*	*
82	*	12	6	119.5	142.2	*	*	*	*
83	*	11	7	136.1	130.5	*	*	*	*
84	*	12	8	152.7	142.2	*	*	*	*
85	*	11	9	169.3	130.5	*	*	*	*
86	*	12	10	185.9	142.2	*	*	*	*
87	*	11	11	202.5	130.5	*	*	*	*
88	*	12	12	219.1	142.2	*	*	*	*
89	*	11	13	235.7	130.5	*	*	*	*
90	*	12	14	252.3	142.2	*	*	*	*
91	*	11	15	268.9	130.5	*	*	*	*
92	*	12	16	285.5	142.2	*	*	*	*
93	*	11	17	302.1	130.5	*	*	*	*
94	*	13	1	36.5	153.9	*	*	*	*
95	*	14	2	53.1	165.6	*	*	*	*
96	*	13	3	69.7	153.9	*	*	*	*
97	*	14	4	86.3	165.6	*	*	*	*
98	*	13	5	102.9	153.9	*	*	*	*
99	*	14	6	119.5	165.6	*	*	*	*
100	*	13	7	136.1	153.9	*	*	*	*
101	*	14	8	152.7	165.6	*	*	*	*
102	*	13	9	169.3	153.9	*	*	*	*
103	*	14	10	185.9	165.6	*	*	*	*
104	*	13	11	202.5	153.9	*	*	*	*
105	*	14	12	219.1	165.6	*	*	*	*
106	*	13	13	235.7	153.9	*	*	*	*
107	*	14	14	252.3	165.6	*	*	*	*
108	*	13	15	268.9	153.9	*	*	*	*
109	*	14	16	285.5	165.6	*	*	*	*
110	*	13	17	302.1	153.9	*	*	*	*
111	*	15	1	36.5	177.3	*	*	*	*
112	*	16	2	53.1	189	*	*	*	*
113	*	15	3	69.7	177.3	*	*	*	*
114	*	16	4	86.3	189	*	*	*	*
115	*	15	5	102.9	177.3	*	*	*	*
116	*	16	6	119.5	189	*	*	*	*
117	*	15	7	136.1	177.3	*	*	*	*
118	*	16	8	152.7	189	*	*	*	*
119	*	15	9	169.3	177.3	*	*	*	*
120	*	16	10	185.9	189	*	*	*	*
121	*	15	11	202.5	177.3	*	*	*	*
122	*	16	12	219.1	189	*	*	*	*
123	*	15	13	235.7	177.3	*	*	*	*
124	*	16	14	252.3	189	*	*	*	*
125	*	15	15	268.9	177.3	*	*	*	*
126	*	16	16	285.5	189	*	*	*	*
127	*	15	17	302.1	177.3	*	*	*	*
128	*	17	1	36.5	200.7	*	*	*	*
129	*	18	2	53.1	212.4	*	*	*	*
130	*	17	3	69.7	200.7	*	*	*	*
131	*	18	4	86.3	212.4	*	*	*	*
132	*	17	5	102.9	200.7	*	*	*	*
133	*	18	6	119.5	212.4	*	*	*	*
134	*	17	7	136.1	200.7	*	*	*	*
135	*	18	8	152.7	212.4	*	*	*	*
136	*	17	9	169.3	200.7	*	*	*	*
137	*	18	10	185.9	212.4	*	*	*	*
138	*	17	11	202.5	200.7	*	*	*	*
139	*	18	12	219.1	212.4	*	*	*	*
140	*	17	13	235.7	200.7	*	*	*	*
141	*	18	14	252.3	212.4	*	*	*	*
