Number of robot passes: 
196

No Area Row Col.  X      Y     Put FGr Take Angle

1    1   1   1   23.55  23.6    1   1   1   0    
2    1   1   2   46.05  23.6    1   1   1   0    
3    1   1   3   68.55  23.6    1   1   1   0    
4    1   1   4   91.05  23.6    1   1   1   0    
5    1   1   5   113.55 23.6    1   1   1   0    
6    1   1   6   136.05 23.6    1   1   1   0    
7    1   1   7   158.55 23.6    1   1   1   0    
8    1   1   8   181.05 23.6    1   1   1   0    
9    1   1   9   203.55 23.6    1   1   1   0    
10   1   1   10  226.05 23.6    1   1   1   0    
11   1   1   11  248.55 23.6    1   1   1   0    
12   1   1   12  271.05 23.6    1   1   1   0    
13   1   1   13  293.55 23.6    1   1   1   0    
14   1   1   14  316.05 23.6    1   1   1   0    
15   1   2   1   23.55  43.2    1   1   1   0    
16   1   2   2   46.05  43.2    1   1   1   0    
17   1   2   3   68.55  43.2    1   1   1   0    
18   1   2   4   91.05  43.2    1   1   1   0    
19   1   2   5   113.55 43.2    1   1   1   0    
20   1   2   6   136.05 43.2    1   1   1   0    
21   1   2   7   158.55 43.2    1   1   1   0    
22   1   2   8   181.05 43.2    1   1   1   0    
23   1   2   9   203.55 43.2    1   1   1   0    
24   1   2   10  226.05 43.2    1   1   1   0    
25   1   2   11  248.55 43.2    1   1   1   0    
26   1   2   12  271.05 43.2    1   1   1   0    
27   1   2   13  293.55 43.2    1   1   1   0    
28   1   2   14  316.05 43.2    1   1   1   0    
29   1   3   1   23.55  62.8    1   1   1   0    
30   1   3   2   46.05  62.8    1   1   1   0    
31   1   3   3   68.55  62.8    1   1   1   0    
32   1   3   4   91.05  62.8    1   1   1   0    
33   1   3   5   113.55 62.8    1   1   1   0    
34   1   3   6   136.05 62.8    1   1   1   0    
35   1   3   7   158.55 62.8    1   1   1   0    
36   1   3   8   181.05 62.8    1   1   1   0    
37   1   3   9   203.55 62.8    1   1   1   0    
38   1   3   10  226.05 62.8    1   1   1   0    
39   1   3   11  248.55 62.8    1   1   1   0    
40   1   3   12  271.05 62.8    1   1   1   0    
41   1   3   13  293.55 62.8    1   1   1   0    
42   1   3   14  316.05 62.8    1   1   1   0    
43   1   4   1   23.55  82.4    1   1   1   0    
44   1   4   2   46.05  82.4    1   1   1   0    
45   1   4   3   68.55  82.4    1   1   1   0    
