Num	ber	of r	obot p	asses:					
195									
									
No	*	Row	Col.	X	Y	*	*	*	*
									
									
1	*	2	2	53.1	35.5	*	*	*	*
2	*	2	4	86.3	35.5	*	*	*	*
3	*	2	6	119.5	35.5	*	*	*	*
4	*	2	8	152.7	35.5	*	*	*	*
5	*	2	10	185.9	35.5	*	*	*	*
6	*	2	12	219.1	35.5	*	*	*	*
7	*	2	14	252.3	35.5	*	*	*	*
8	*	2	16	285.5	35.5	*	*	*	*
9	*	3	1	36.5	47	*	*	*	*
10	*	4	2	53.1	58.5	*	*	*	*
11	*	3	3	69.7	47	*	*	*	*
12	*	4	4	86.3	58.5	*	*	*	*
13	*	3	5	102.9	47	*	*	*	*
14	*	4	6	119.5	58.5	*	*	*	*
15	*	3	7	136.1	47	*	*	*	*
16	*	4	8	152.7	58.5	*	*	*	*
17	*	3	9	169.3	47	*	*	*	*
18	*	4	10	185.9	58.5	*	*	*	*
19	*	3	11	202.5	47	*	*	*	*
20	*	4	12	219.1	58.5	*	*	*	*
21	*	3	13	235.7	47	*	*	*	*
22	*	4	14	252.3	58.5	*	*	*	*
23	*	3	15	268.9	47	*	*	*	*
24	*	4	16	285.5	58.5	*	*	*	*
25	*	3	17	302.1	47	*	*	*	*
26	*	5	1	36.5	70	*	*	*	*
27	*	6	2	53.1	81.5	*	*	*	*
28	*	5	3	69.7	70	*	*	*	*
29	*	6	4	86.3	81.5	*	*	*	*
30	*	5	5	102.9	70	*	*	*	*
31	*	6	6	119.5	81.5	*	*	*	*
32	*	5	7	136.1	70	*	*	*	*
33	*	6	8	152.7	81.5	*	*	*	*
34	*	5	9	169.3	70	*	*	*	*
35	*	6	10	185.9	81.5	*	*	*	*
36	*	5	11	202.5	70	*	*	*	*
37	*	6	12	219.1	81.5	*	*	*	*
38	*	5	13	235.7	70	*	*	*	*
39	*	6	14	252.3	81.5	*	*	*	*
40	*	5	15	268.9	70	*	*	*	*
41	*	6	16	285.5	81.5	*	*	*	*
42	*	5	17	302.1	70	*	*	*	*
43	*	7	1	36.5	93	*	*	*	*
44	*	8	2	53.1	104.5	*	*	*	*
45	*	7	3	69.7	93	*	*	*	*
46	*	8	4	86.3	104.5	*	*	*	*
47	*	7	5	102.9	93	*	*	*	*
48	*	8	6	119.5	104.5	*	*	*	*
49	*	7	7	136.1	93	*	*	*	*
50	*	8	8	152.7	104.5	*	*	*	*
51	*	7	9	169.3	93	*	*	*	*
52	*	8	10	185.9	104.5	*	*	*	*
53	*	7	11	202.5	93	*	*	*	*
54	*	8	12	219.1	104.5	*	*	*	*
55	*	7	13	235.7	93	*	*	*	*
56	*	8	14	252.3	104.5	*	*	*	*
57	*	7	15	268.9	93	*	*	*	*
58	*	8	16	285.5	104.5	*	*	*	*
59	*	7	17	302.1	93	*	*	*	*
60	*	9	1	36.5	116	*	*	*	*
61	*	10	2	53.1	127.5	*	*	*	*
62	*	9	3	69.7	116	*	*	*	*
63	*	10	4	86.3	127.5	*	*	*	*
64	*	9	5	102.9	116	*	*	*	*
65	*	10	6	119.5	127.5	*	*	*	*
66	*	9	7	136.1	116	*	*	*	*
67	*	10	8	152.7	127.5	*	*	*	*
68	*	9	9	169.3	116	*	*	*	*
69	*	10	10	185.9	127.5	*	*	*	*
70	*	9	11	202.5	116	*	*	*	*
71	*	10	12	219.1	127.5	*	*	*	*
72	*	9	13	235.7	116	*	*	*	*
73	*	10	14	252.3	127.5	*	*	*	*
74	*	9	15	268.9	116	*	*	*	*
75	*	10	16	285.5	127.5	*	*	*	*
76	*	9	17	302.1	116	*	*	*	*
77	*	11	1	36.5	139	*	*	*	*
78	*	12	2	53.1	150.5	*	*	*	*
79	*	11	3	69.7	139	*	*	*	*
80	*	12	4	86.3	150.5	*	*	*	*
81	*	11	5	102.9	139	*	*	*	*
82	*	12	6	119.5	150.5	*	*	*	*
83	*	11	7	136.1	139	*	*	*	*
84	*	12	8	152.7	150.5	*	*	*	*
85	*	11	9	169.3	139	*	*	*	*
86	*	12	10	185.9	150.5	*	*	*	*
87	*	11	11	202.5	139	*	*	*	*
88	*	12	12	219.1	150.5	*	*	*	*
89	*	11	13	235.7	139	*	*	*	*
90	*	12	14	252.3	150.5	*	*	*	*
91	*	11	15	268.9	139	*	*	*	*
92	*	12	16	285.5	150.5	*	*	*	*
93	*	11	17	302.1	139	*	*	*	*
94	*	13	1	36.5	162	*	*	*	*
95	*	14	2	53.1	173.5	*	*	*	*
96	*	13	3	69.7	162	*	*	*	*
97	*	14	4	86.3	173.5	*	*	*	*
98	*	13	5	102.9	162	*	*	*	*
99	*	14	6	119.5	173.5	*	*	*	*
100	*	13	7	136.1	162	*	*	*	*
101	*	14	8	152.7	173.5	*	*	*	*
102	*	13	9	169.3	162	*	*	*	*
103	*	14	10	185.9	173.5	*	*	*	*
104	*	13	11	202.5	162	*	*	*	*
105	*	14	12	219.1	173.5	*	*	*	*
106	*	13	13	235.7	162	*	*	*	*
107	*	14	14	252.3	173.5	*	*	*	*
108	*	13	15	268.9	162	*	*	*	*
109	*	14	16	285.5	173.5	*	*	*	*
110	*	13	17	302.1	162	*	*	*	*
111	*	15	1	36.5	185	*	*	*	*
112	*	16	2	53.1	196.5	*	*	*	*
113	*	15	3	69.7	185	*	*	*	*
114	*	16	4	86.3	196.5	*	*	*	*
115	*	15	5	102.9	185	*	*	*	*
116	*	16	6	119.5	196.5	*	*	*	*
117	*	15	7	136.1	185	*	*	*	*
118	*	16	8	152.7	196.5	*	*	*	*
119	*	15	9	169.3	185	*	*	*	*
120	*	16	10	185.9	196.5	*	*	*	*
121	*	15	11	202.5	185	*	*	*	*
122	*	16	12	219.1	196.5	*	*	*	*
123	*	15	13	235.7	185	*	*	*	*
124	*	16	14	252.3	196.5	*	*	*	*
125	*	15	15	268.9	185	*	*	*	*
126	*	16	16	285.5	196.5	*	*	*	*
127	*	15	17	302.1	185	*	*	*	*
128	*	17	1	36.5	208	*	*	*	*
129	*	18	2	53.1	219.5	*	*	*	*
130	*	17	3	69.7	208	*	*	*	*
131	*	18	4	86.3	219.5	*	*	*	*
132	*	17	5	102.9	208	*	*	*	*
133	*	18	6	119.5	219.5	*	*	*	*
134	*	17	7	136.1	208	*	*	*	*
135	*	18	8	152.7	219.5	*	*	*	*
136	*	17	9	169.3	208	*	*	*	*
137	*	18	10	185.9	219.5	*	*	*	*
138	*	17	11	202.5	208	*	*	*	*
139	*	18	12	219.1	219.5	*	*	*	*
140	*	17	13	235.7	208	*	*	*	*
141	*	18	14	252.3	219.5	*	*	*	*
142	*	17	15	268.9	208	*	*	*	*
143	*	18	16	285.5	219.5	*	*	*	*
144	*	17	17	302.1	208	*	*	*	*
145	*	19	1	36.5	231	*	*	*	*
146	*	20	2	53.1	242.5	*	*	*	*
