Number of robot passes: 
254

No   * Row Col.  X      Y     Put FGr Take Angle

1    0  1   1   29.6   21.1    1   1   1   0    
2    0  2   2   52.65  27.51   1   1   1   0    
3    0  1   3   75.95  21.1    1   1   1   0    
4    0  2   4   99     27.51   1   1   1   0    
5    0  1   5   122.3  21.1    1   1   1   0    
6    0  2   6   145.35 27.51   1   1   1   0    
7    0  1   7   168.65 21.1    1   1   1   0    
8    0  2   8   191.7  27.51   1   1   1   0    
9    0  1   9   215    21.1    1   1   1   0    
10   0  2   10  238.05 27.51   1   1   1   0    
11   0  1   11  261.35 21.1    1   1   1   0    
12   0  2   12  284.4  27.51   1   1   1   0    
13   0  1   13  307.7  21.1    1   1   1   0    
14   0  3   1   29.6   35      1   1   1   0    
15   0  4   2   52.65  41.41   1   1   1   0    
16   0  3   3   75.95  35      1   1   1   0    
17   0  4   4   99     41.41   1   1   1   0    
18   0  3   5   122.3  35      1   1   1   0    
19   0  4   6   145.35 41.41   1   1   1   0    
20   0  3   7   168.65 35      1   1   1   0    
21   0  4   8   191.7  41.41   1   1   1   0    
22   0  3   9   215    35      1   1   1   0    
23   0  4   10  238.05 41.41   1   1   1   0    
24   0  3   11  261.35 35      1   1   1   0    
25   0  4   12  284.4  41.41   1   1   1   0    
26   0  3   13  307.7  35      1   1   1   0    
27   0  5   1   29.6   48.9    1   1   1   0    
28   0  6   2   52.65  55.31   1   1   1   0    
29   0  5   3   75.95  48.9    1   1   1   0    
30   0  6   4   99     55.31   1   1   1   0    
31   0  5   5   122.3  48.9    1   1   1   0    
32   0  6   6   145.35 55.31   1   1   1   0    
33   0  5   7   168.65 48.9    1   1   1   0    
34   0  6   8   191.7  55.31   1   1   1   0    
35   0  5   9   215    48.9    1   1   1   0    
36   0  6   10  238.05 55.31   1   1   1   0    
37   0  5   11  261.35 48.9    1   1   1   0    
38   0  6   12  284.4  55.31   1   1   1   0    
39   0  5   13  307.7  48.9    1   1   1   0    
40   0  7   1   29.6   62.8    1   1   1   0    
41   0  8   2   52.65  69.21   1   1   1   0    
42   0  7   3   75.95  62.8    1   1   1   0    
43   0  8   4   99     69.21   1   1   1   0    
44   0  7   5   122.3  62.8    1   1   1   0    
45   0  8   6   145.35 69.21   1   1   1   0    
46   0  7   7   168.65 62.8    1   1   1   0    
47   0  8   8   191.7  69.21   1   1   1   0    
48   0  7   9   215    62.8    1   1   1   0    
49   0  8   10  238.05 69.21   1   1   1   0    
50   0  7   11  261.35 62.8    1   1   1   0    
51   0  8   12  284.4  69.21   1   1   1   0    
52   0  7   13  307.7  62.8    1   1   1   0    
53   0  9   1   29.6   76.7    1   1   1   0    
54   0  10  2   52.65  83.11   1   1   1   0    
55   0  9   3   75.95  76.7    1   1   1   0    
56   0  10  4   99     83.11   1   1   1   0    
57   0  9   5   122.3  76.7    1   1   1   0    
58   0  10  6   145.35 83.11   1   1   1   0    
59   0  9   7   168.65 76.7    1   1   1   0    
60   0  10  8   191.7  83.11   1   1   1   0    
61   0  9   9   215    76.7    1   1   1   0    
62   0  10  10  238.05 83.11   1   1   1   0    
63   0  9   11  261.35 76.7    1   1   1   0    
64   0  10  12  284.4  83.11   1   1   1   0    
65   0  9   13  307.7  76.7    1   1   1   0    
66   0  11  1   29.6   90.6    1   1   1   0    
67   0  12  2   52.65  97.01   1   1   1   0    
68   0  11  3   75.95  90.6    1   1   1   0    
69   0  12  4   99     97.01   1   1   1   0    
70   0  11  5   122.3  90.6    1   1   1   0    
